start_s,end_s,label,trigger_event,noise_flag,intensity
0:03,0:04,fear,jumpscare,0,5
04:33,04:39,fear,jumpscare,0,3
05:03,05:07,fear,searching enemy,0,3
05:07,05:12,fear,found enemy,0,5
05:21,05:22,slight_fear,enemy sound,0,2
05:56,06:03,fear,dog noise,0,4
06:07,06:09,fear,jumpscare,0,3
06:14,06:21,fear,jumpscare & death,1 (hands covering face mid-part,5
06:25,06:29,fear,mimicking himself,0,3
08:05,08:19,fear,enemy breathing,0,5
08:29,08:52,fear,lost enemy sight,0,3
08:56,09:10,fear,jumpscare & death,1 (hands covering face brief moment),5
09:41,09:47,fear,mimicking fear,0,3
09:54,10:01,fear,saw enemy,0,3
10:20,10:36,fear,jumpscare & death,0,5
11:40,11:57,fear,enemy sounds,0,3
12:00,12:09,fear,jumpscare & death,hands covering face for first seconds,5
