frame,timestamp,hs_crop_source,composite_fear,hs_dominant,mp_ctx_tag,mp_velocity_tag,agreement_tag,veto_tag,hs_fear,hs_arousal,hs_dominant_score,mp_tension,mp_startle_score,f0,f1,f2,f3,f4,f5,f6,smoothed_composite,onset_slope,event_status,is_neutral_frame,mp_face_valence,mp_smile_level,mp_browDownLeft,mp_browDownRight,mp_browInnerUp,mp_eyeWideLeft,mp_eyeWideRight,mp_eyeSquintLeft,mp_eyeSquintRight,mp_mouthPressLeft,mp_mouthPressRight,mp_mouthFrownLeft,mp_mouthFrownRight,mp_mouthSmileLeft,mp_mouthSmileRight,mp_jawOpen,mp_noseSneerLeft,mp_noseSneerRight,mp_cheekSquintLeft,mp_cheekSquintRight,mp_vel_eyeWideLeft,mp_vel_eyeWideRight,mp_vel_browInnerUp,mp_vel_jawOpen,mp_vel_mouthPressLeft,mp_vel_mouthPressRight,mp_tension_velocity,hs_anger,hs_contempt,hs_disgust,hs_fear,hs_happiness,hs_neutral,hs_sadness,hs_surprise,mp_face_detected,hs_face_detected,latency_ms,cpu_percent,ram_mb
1,0.033,haar,0.0035,Sadness,---,---,AMBIGUOUS,---,0.0016,-0.0836,0.7177,0.1341,0.0000,0.0035,0.0546,0.0547,0.0243,0.0000,0.0410,0.0465,0.0547,0.000000,IDLE,0,-0.0314,0.0000,0.0107,0.0518,0.0057,0.0005,0.0002,0.4810,0.6507,0.0117,0.0056,0.0001,0.0001,0.0000,0.0000,0.0071,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.1478,0.0013,0.0006,0.0016,0.0002,0.1287,0.7177,0.0021,1,1,1241.1,0.0,231.1
2,0.067,haar,0.0580,Sadness,---,---,AMBIGUOUS,---,0.0013,0.0068,0.6573,0.1348,0.2307,0.0580,0.0547,0.0547,0.0424,0.0000,0.0457,0.0389,0.0547,0.000000,IDLE,0,-0.0726,0.0000,0.0294,0.1152,0.0015,0.0023,0.0024,0.5563,0.4755,0.0092,0.0089,0.0003,0.0004,0.0000,0.0000,0.0148,0.0000,0.0000,0.0000,0.0000,0.0533,0.0681,0.0000,0.2307,0.0000,0.0990,0.0222,0.2894,0.0010,0.0007,0.0013,0.0000,0.0491,0.6573,0.0013,1,1,78.1,0.0,231.1
3,0.100,haar,0.0529,Sadness,---,---,AMBIGUOUS,---,0.0016,-0.0025,0.6922,0.1359,0.2773,0.0529,0.0554,0.0553,0.0411,0.0000,0.0471,0.0409,0.0549,0.000000,IDLE,0,-0.0623,0.0000,0.0445,0.0772,0.0010,0.0037,0.0037,0.5950,0.4604,0.0185,0.0046,0.0012,0.0016,0.0000,0.0000,0.0095,0.0000,0.0000,0.0000,0.0000,0.0418,0.0392,0.0000,0.0000,0.2773,0.0000,0.0340,0.2614,0.0008,0.0007,0.0016,0.0000,0.0418,0.6922,0.0014,1,1,64.9,0.0,231.1
4,0.133,haar,0.0567,Sadness,---,---,AMBIGUOUS,---,0.0017,0.0029,0.6898,0.1374,0.0202,0.0567,0.0560,0.0559,0.0426,0.0000,0.0425,0.0415,0.0551,0.000000,IDLE,0,-0.0679,0.0000,0.0481,0.0831,0.0009,0.0036,0.0040,0.5861,0.4713,0.0192,0.0040,0.0019,0.0026,0.0000,0.0000,0.0085,0.0000,0.0000,0.0000,0.0000,0.0000,0.0079,0.0000,0.0000,0.0202,0.0000,0.0440,0.2582,0.0010,0.0007,0.0017,0.0000,0.0472,0.6898,0.0013,1,1,69.4,0.0,231.1
5,0.167,haar,0.0184,Sadness,---,---,AMBIGUOUS,---,0.0014,-0.0604,0.7549,0.1366,0.0246,0.0184,0.0555,0.0553,0.0296,0.0000,0.0421,0.0441,0.0552,0.000000,IDLE,0,-0.0649,0.0000,0.0461,0.0805,0.0009,0.0041,0.0042,0.5896,0.4639,0.0183,0.0046,0.0014,0.0018,0.0000,0.0000,0.0093,0.0000,0.0000,0.0000,0.0000,0.0145,0.0064,0.0012,0.0246,0.0000,0.0179,0.0000,0.2055,0.0005,0.0005,0.0014,0.0000,0.0364,0.7549,0.0009,1,1,73.6,0.0,231.1
6,0.200,haar,0.0911,Sadness,---,---,AMBIGUOUS,---,0.0023,0.0629,0.6345,0.1335,0.0081,0.0911,0.0548,0.0546,0.0538,0.0000,0.0414,0.0372,0.0551,0.000000,IDLE,0,-0.0646,0.0000,0.0420,0.0856,0.0008,0.0031,0.0036,0.5594,0.4752,0.0156,0.0048,0.0007,0.0009,0.0000,0.0000,0.0096,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0081,0.0000,0.0053,0.0000,0.3220,0.0010,0.0010,0.0023,0.0000,0.0375,0.6345,0.0016,1,1,72.2,22.5,338.1
7,0.233,haar,0.1132,Sadness,---,---,AMBIGUOUS,---,0.0015,0.1022,0.5729,0.1296,0.0029,0.1132,0.0527,0.0527,0.0601,0.0000,0.0397,0.0332,0.0548,0.000000,IDLE,0,-0.0570,0.0000,0.0415,0.0714,0.0009,0.0028,0.0031,0.5433,0.4749,0.0157,0.0045,0.0005,0.0007,0.0000,0.0000,0.0088,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0028,0.0000,0.0029,0.0000,0.0000,0.3713,0.0013,0.0009,0.0015,0.0000,0.0507,0.5729,0.0014,1,1,74.0,22.5,338.1
8,0.267,haar,0.0815,Sadness,---,---,AMBIGUOUS,---,0.0013,0.0485,0.6513,0.1310,0.0000,0.0815,0.0532,0.0531,0.0496,0.0000,0.0399,0.0370,0.0545,0.000000,IDLE,0,-0.0645,0.0000,0.0474,0.0802,0.0006,0.0025,0.0027,0.5338,0.4842,0.0156,0.0040,0.0006,0.0009,0.0000,0.0000,0.0085,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0423,0.3049,0.0009,0.0006,0.0013,0.0000,0.0401,0.6513,0.0009,1,1,64.4,22.5,338.1
9,0.300,haar,0.0930,Sadness,---,---,AMBIGUOUS,---,0.0020,0.0698,0.5711,0.1278,0.0318,0.0930,0.0523,0.0521,0.0533,0.0000,0.0400,0.0326,0.0543,0.000000,IDLE,0,-0.0581,0.0000,0.0455,0.0690,0.0008,0.0036,0.0030,0.4827,0.5167,0.0149,0.0049,0.0007,0.0010,0.0000,0.0000,0.0081,0.0000,0.0000,0.0000,0.0000,0.0318,0.0066,0.0060,0.0000,0.0000,0.0265,0.0000,0.3758,0.0008,0.0004,0.0020,0.0000,0.0488,0.5711,0.0011,1,1,81.5,22.5,338.1
10,0.333,haar,0.0170,Sadness,---,---,AMBIGUOUS,---,0.0021,-0.0575,0.6833,0.1288,0.0416,0.0170,0.0528,0.0526,0.0282,0.0000,0.0405,0.0394,0.0541,-0.000057,IDLE,0,-0.0801,0.0000,0.0731,0.0850,0.0007,0.0046,0.0044,0.4903,0.4678,0.0126,0.0047,0.0009,0.0013,0.0000,0.0000,0.0086,0.0000,0.0000,0.0000,0.0000,0.0301,0.0416,0.0000,0.0151,0.0000,0.0000,0.0305,0.2531,0.0006,0.0004,0.0021,0.0000,0.0595,0.6833,0.0010,1,1,68.5,22.5,338.1
