frame,timestamp,hs_crop_source,composite_fear,hs_dominant,mp_ctx_tag,mp_velocity_tag,agreement_tag,veto_tag,hs_fear,hs_arousal,hs_dominant_score,mp_tension,mp_startle_score,smoothed_composite,onset_slope,event_status,face_bbox,mp_valence,mp_smile
1,0.033,mp,0.0409,Neutral,STRESS,---,,---,0.0258,0.0457,0.3653,0.2882,0.0000,0.0409,0.000000,IDLE,"111,72,196,176",-0.2924,0.0503
2,0.067,mp,0.0163,Neutral,STRESS,STARTLE,,---,0.0129,0.0087,0.4502,0.3934,4.6702,0.0286,0.000000,IDLE,"111,71,195,176",-0.4030,0.0448
3,0.100,mp,0.0000,Sadness,STRESS,---,,---,0.0138,-0.0988,0.3808,0.4087,0.6076,0.0190,0.000000,IDLE,"110,70,195,176",-0.4564,0.0108
4,0.133,haar,0.0000,Neutral,STRESS,---,,---,0.0063,-0.1489,0.4084,0.4332,2.2774,0.0143,0.000000,IDLE,"109,70,194,176",-0.4573,0.0463
5,0.167,mp,0.0000,Sadness,STRESS,---,,---,0.0211,-0.0940,0.6519,0.3607,0.1195,0.0114,0.000000,IDLE,"109,70,194,176",-0.4542,0.0483
6,0.200,mp,0.0000,Sadness,---,---,,---,0.0095,-0.0877,0.6905,0.3130,0.0467,0.0095,0.000000,IDLE,"109,70,194,176",-0.5234,0.0076
7,0.234,mp,0.0000,Sadness,---,---,,---,0.0097,-0.1444,0.6936,0.2936,0.0000,0.0082,0.000000,IDLE,"109,70,194,176",-0.5002,0.0029
8,0.267,mp,0.0000,Sadness,---,---,,---,0.0105,-0.1505,0.6436,0.2856,0.0640,0.0071,0.000000,IDLE,"109,70,194,176",-0.4999,0.0014
9,0.300,mp,0.0000,Sadness,---,---,,---,0.0118,-0.1617,0.6483,0.2794,0.0725,0.0063,0.000000,IDLE,"109,70,194,176",-0.4936,0.0010
10,0.334,mp,0.0000,Sadness,---,---,,---,0.0108,-0.1223,0.5598,0.2839,0.0987,0.0057,-0.003518,IDLE,"109,70,194,176",-0.5102,0.0011
11,0.367,mp,0.0000,Sadness,---,---,,---,0.0085,-0.1415,0.5173,0.2899,0.0744,0.0052,-0.002338,IDLE,"109,70,194,176",-0.5344,0.0014
12,0.400,mp,0.0000,Sadness,---,---,,---,0.0085,-0.1188,0.4872,0.2924,0.5334,0.0048,-0.001429,IDLE,"109,70,194,176",-0.5241,0.0013
13,0.434,mp,0.0000,Sadness,---,---,,---,0.0096,-0.1188,0.4979,0.2813,0.3957,0.0044,-0.000989,IDLE,"110,70,194,176",-0.4659,0.0011
14,0.467,mp,0.0000,Sadness,---,---,,---,0.0110,-0.0928,0.4648,0.2853,0.5708,0.0041,-0.000735,IDLE,"110,70,195,176",-0.4650,0.0011
15,0.501,mp,0.0000,Sadness,---,---,,---,0.0078,-0.1182,0.5056,0.2789,0.4204,0.0038,-0.000571,IDLE,"110,69,195,177",-0.4587,0.0007
16,0.534,mp,0.0000,Sadness,STRESS,---,,---,0.0124,-0.0772,0.4897,0.2918,0.4120,0.0036,-0.000459,IDLE,"110,69,196,177",-0.4990,0.0008
17,0.567,mp,0.0000,Sadness,STRESS,---,,---,0.0137,-0.0921,0.4940,0.3030,0.0869,0.0034,-0.000378,IDLE,"110,68,196,177",-0.5374,0.0007
18,0.601,mp,0.0000,Sadness,---,---,,---,0.0165,-0.0823,0.5150,0.3026,0.1269,0.0032,-0.000317,IDLE,"110,68,196,177",-0.5296,0.0007
19,0.634,mp,0.0000,Sadness,---,---,,---,0.0194,-0.0830,0.5070,0.3106,0.0094,0.0030,-0.000271,IDLE,"110,68,197,177",-0.5595,0.0006
20,0.667,mp,0.0000,Sadness,STRESS,---,,---,0.0159,-0.0556,0.4455,0.3268,0.7912,0.0029,-0.000234,IDLE,"111,68,197,177",-0.5778,0.0006
21,0.701,mp,0.0000,Sadness,STRESS,---,,---,0.0122,-0.0747,0.4102,0.3299,0.3768,0.0027,-0.000204,IDLE,"111,67,197,177",-0.5762,0.0007
22,0.734,mp,0.0000,Sadness,STRESS,---,,---,0.0132,-0.0685,0.4054,0.3318,0.2551,0.0026,-0.000180,IDLE,"111,67,197,177",-0.5754,0.0008
23,0.767,mp,0.0000,Sadness,STRESS,---,,---,0.0134,-0.0899,0.4125,0.3269,0.0658,0.0025,-0.000160,IDLE,"111,67,197,177",-0.5653,0.0009
