event_id,cluster_start,cluster_end,peak_t,verdict,category,start_s,end_s,context,face_visible_in_gaps,no_face_pct,peak_composite,n_veto_frames,veto_reasons,cluster_emotion,source,hs_dominant_at_peak,peak_hs_fear,peak_hs_surprise,peak_arousal,n_fear_frames,n_surprise_frames,n_angry_frames,n_happy_frames,n_sad_frames,n_contempt_frames,n_disgust_frames,n_neutral_frames,peak_startle,peak_tension,mp_ctx_tags,n_no_face_frames,duration_s
E01,4.267,10.267,7.267,,,4.3,10.3,,,0.0,0.2422,4,MP:STRESS/HS:Happy,Surprise,MP_STARTLE,Happiness,0.2728,0.4275,0.1875,0,9,0,4,0,0,0,168,8.848,0.3371,"CONC,STRESS",0,6.00
E02,7.633,13.633,10.633,,,7.6,13.6,,,0.0,0.2394,0,---,Surprise,MP_STARTLE,Neutral,0.2728,0.5788,0.3346,0,15,0,3,0,0,0,163,4.549,0.2768,"CONC,STRESS",0,6.00
E03,9.500,15.500,12.500,,,9.5,15.5,,,0.0,0.2394,0,---,Surprise,MP_STARTLE,Neutral,0.1204,0.5788,0.3346,0,6,0,3,0,0,0,172,3.216,0.1835,"CONC,STRESS",0,6.00
E04,18.967,24.967,21.967,,,19.0,25.0,,,0.0,0.7508,0,---,Fear,MP_STARTLE,Surprise,0.4392,0.9221,1.1586,4,88,63,0,0,0,0,26,3.485,0.1462,"CONC,STRESS",0,6.00
E05,30.733,36.700,33.700,,,30.7,36.7,,,0.0,0.4316,0,---,Surprise,HS_FEAR,Surprise,0.3587,0.7432,0.6693,0,97,21,0,0,0,0,62,0.647,0.1214,---,0,5.97
E06,42.300,48.300,45.300,,,42.3,48.3,,,0.0,0.2624,0,---,Fear,MP_STARTLE,Surprise,0.4417,0.6305,0.3304,14,104,0,0,0,0,0,63,12.027,0.3059,"CONC,JOY,STRESS",0,6.00
E07,44.467,50.467,47.467,,,44.5,50.5,,,0.0,0.2624,0,---,Fear,MP_STARTLE,Surprise,0.6295,0.6305,0.2955,29,67,0,18,0,0,0,67,12.027,0.3059,"CONC,JOY,STRESS",0,6.00
E08,63.300,69.300,66.300,,,63.3,69.3,,,0.0,0.3241,0,---,Surprise,MP_STARTLE,Neutral,0.1708,0.7905,0.4798,0,83,2,2,0,0,0,94,6.447,0.2494,"CONC,STRESS",0,6.00
E09,72.767,78.767,75.767,,,72.8,78.8,,,0.0,0.3317,0,---,Surprise,MP_STARTLE,Surprise,0.1568,0.7604,0.4878,0,29,5,4,0,0,0,143,3.741,0.1557,"CONC,STRESS",0,6.00
E10,86.467,92.467,89.467,,,86.5,92.5,,,0.0,0.4919,11,"MP:JOY/HS:Anger,MP:JOY/HS:Fear",Fear,HS_FEAR,Fear,0.5252,0.2957,0.8199,55,2,27,41,0,0,5,51,1.894,0.1230,"CONC,JOY",0,6.00
E11,94.767,100.767,97.767,,,94.8,100.8,,,37.0,0.4835,11,MP:STRESS/HS:Happy,Fear,MP_STARTLE,Happiness,0.5858,0.4358,0.6592,8,4,0,62,0,0,3,104,16.051,0.4017,"CONC,JOY,STRESS",67,6.00
E12,97.867,103.867,100.867,,,97.9,103.9,,,55.8,0.3153,3,MP:STRESS/HS:Happy,Fear,MP_STARTLE,Surprise,0.3026,0.3943,0.3614,1,8,0,9,0,0,0,163,9.358,0.3507,"CONC,JOY,STRESS",101,6.00
E13,131.033,137.033,134.033,,,131.0,137.0,,,0.0,0.2482,0,---,Startle,MP_STARTLE,Anger,0.1108,0.1897,0.3128,0,0,37,0,0,0,0,144,3.620,0.1936,"CONC,STRESS",0,6.00
E14,150.133,156.133,153.133,,,150.1,156.1,,,0.0,0.4265,2,MP:STRESS/HS:Happy,Fear,MP_STARTLE,Neutral,0.6224,0.3390,0.5556,6,4,5,16,0,0,0,150,20.724,0.3192,"CONC,STRESS",0,6.00
E15,153.100,159.100,156.100,,,153.1,159.1,,,6.6,0.4265,2,MP:STRESS/HS:Happy,Fear,MP_STARTLE,Fear,0.6224,0.3928,0.5556,21,12,5,16,0,0,0,127,20.724,0.3192,"CONC,STRESS",12,6.00
E16,188.367,194.367,191.367,,,188.4,194.4,,,7.2,0.3987,0,---,Startle,MP_STARTLE,Neutral,0.1957,0.2413,0.5875,0,0,51,29,2,0,0,99,8.208,0.3702,"CONC,JOY,STRESS",13,6.00
FN_01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FN_02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FN_03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FN_04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FN_05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FN_06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FN_07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FN_08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FN_09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FN_10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
