event_id,tier,cluster_start_s,cluster_end_s,duration_s,peak_t,vote_count_peak,vote_count_mean,channels_active,peak_composite_f2,mean_composite_f2,cluster_emotion,peak_hs_fear,peak_hs_surprise,peak_hs_arousal,peak_mp_tension,peak_mp_startle,n_fear_frames,n_surprise_frames,n_angry_frames,n_happy_frames,n_sad_frames,n_contempt_frames,n_disgust_frames,n_neutral_frames,no_face_pct,n_veto_frames,scene_cut_bounded,verdict,category,start_s,end_s,context
E01,CANDIDATE,8.467,8.800,0.33,8.500,4,3.9,"DOM_SURPRISE,FEAR_THR,TENSION,CROSS_MODAL",0.2885,0.2000,Surprise,0.1692,0.2735,0.1233,0.1926,0.088,0,9,0,0,0,0,0,2,0.0,0,False,,,,,
E02,CONFIRMED,21.833,23.400,1.57,21.967,5,4.3,"DOM_SURPRISE,FEAR_THR,STARTLE,AROUSAL,CROSS_MODAL",0.2825,0.2151,Surprise,0.1032,0.8894,1.1586,0.1391,3.485,1,43,0,0,0,0,0,4,0.0,0,False,,,,,
E03,CANDIDATE,32.900,33.733,0.83,32.900,3,3.0,"DOM_SURPRISE,FEAR_THR,AROUSAL",0.2554,0.1608,Surprise,0.2427,0.4797,0.3236,0.1002,0.017,0,16,0,0,0,0,0,10,0.0,0,False,,,,,
E04,CANDIDATE,40.033,40.833,0.80,40.033,3,3.0,"DOM_SURPRISE,FEAR_THR,CROSS_MODAL",0.2218,0.2095,Surprise,0.1771,0.4860,0.2606,0.1005,0.071,0,25,0,0,0,0,0,0,0.0,0,False,,,,,
E05,CONFIRMED,45.300,47.533,2.23,45.367,6,4.1,"DOM_FEAR,DOM_SURPRISE,FEAR_THR,TENSION,STARTLE,CROSS_MODAL",0.3423,0.2713,Fear,0.4417,0.2797,0.2638,0.2062,1.145,14,52,0,0,0,0,0,2,0.0,0,False,,,,,
E06,CANDIDATE,48.633,49.200,0.57,48.700,4,3.6,"DOM_FEAR,DOM_SURPRISE,FEAR_THR,CROSS_MODAL",0.3333,0.2402,Fear,0.5163,0.1941,0.2681,0.1107,1.127,15,3,0,0,0,0,0,0,0.0,0,False,,,,,
E07,CANDIDATE,59.000,59.900,0.90,59.300,4,3.1,"DOM_SURPRISE,FEAR_THR,AROUSAL,CROSS_MODAL",0.2147,0.1973,Surprise,0.1650,0.5120,0.5228,0.1060,0.017,0,28,0,0,0,0,0,0,0.0,0,False,,,,,
E08,CANDIDATE,60.767,63.000,2.23,61.100,4,3.4,"DOM_SURPRISE,FEAR_THR,AROUSAL,CROSS_MODAL",0.2153,0.1787,Surprise,0.1637,0.5102,0.3140,0.1194,0.006,0,64,0,0,0,0,0,4,0.0,0,False,,,,,
E09,CONFIRMED,90.533,95.100,4.57,93.467,5,3.4,"DOM_FEAR,DOM_SURPRISE,FEAR_THR,AROUSAL,CROSS_MODAL",0.2810,0.1959,Surprise,0.3036,0.3214,0.4388,0.1138,0.085,77,33,8,6,0,0,14,0,0.0,2,False,,,,,
E10,CONFIRMED,96.433,97.000,0.57,96.733,6,3.8,"DOM_FEAR,FEAR_THR,TENSION,STARTLE,AROUSAL,CROSS_MODAL",0.3629,0.1760,Fear,0.5858,0.2570,0.3442,0.1930,0.651,4,0,0,8,0,0,0,6,5.6,3,False,,,,,
E11,CONFIRMED,155.733,157.800,2.07,155.933,7,5.0,"DOM_FEAR,DOM_SURPRISE,FEAR_THR,TENSION,STARTLE,AROUSAL,CROSS_MODAL",0.4297,0.1990,Fear,0.3839,0.2675,0.3160,0.2004,0.757,21,12,3,0,0,0,0,27,19.0,0,False,,,,,
FN_01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FN_02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FN_03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FN_04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FN_05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FN_06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FN_07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FN_08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FN_09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FN_10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
