event_id,tier,cluster_start_s,cluster_end_s,duration_s,peak_t,vote_count_peak,vote_count_mean,channels_active,verdict,category,start_s,end_s,context,peak_f0,mean_f0,peak_f1,mean_f1,peak_f2,mean_f2,peak_f3,mean_f3,peak_f4,mean_f4,peak_f5,mean_f5,peak_f6,mean_f6,cluster_emotion,peak_hs_fear,peak_hs_surprise,peak_hs_arousal,peak_mp_tension,peak_mp_startle,n_fear_frames,n_surprise_frames,n_angry_frames,n_happy_frames,n_sad_frames,n_contempt_frames,n_disgust_frames,n_neutral_frames,no_face_pct,n_veto_frames,scene_cut_bounded,rppg_bpm_chrom,rppg_pre_bpm_chrom,rppg_delta_chrom,rppg_bpm_pos,rppg_pre_bpm_pos,rppg_delta_pos,rppg_bpm_green,rppg_pre_bpm_green,rppg_delta_green,rppg_impression,rppg_notes
E01,CANDIDATE,2.733,3.167,0.43,2.833,4,3.1,"DOM_FEAR,FEAR_THR,STARTLE,CROSS_MODAL",,,,,,0.1678,0.1137,0.4251,0.3105,0.3396,0.2636,0.3904,0.2823,0.1678,0.1137,0.3975,0.2704,0.4228,0.3080,Fear,0.5174,0.2368,0.1726,0.0983,2.910,12,0,0,0,0,0,0,2,0.0,0,False,,,,,,,,,,,
E02,CANDIDATE,10.933,11.533,0.60,10.967,4,3.9,"DOM_FEAR,FEAR_THR,AROUSAL,CROSS_MODAL",,,,,,0.4597,0.3671,0.5068,0.4152,0.3717,0.3205,0.5600,0.4527,0.4597,0.3671,0.4439,0.3518,0.4827,0.3890,Fear,0.5432,0.2086,0.5119,0.0967,0.260,19,0,0,0,0,0,0,0,0.0,0,False,,,,,,,,,,,
E03,CANDIDATE,19.567,20.600,1.03,19.600,4,4.0,"DOM_FEAR,FEAR_THR,AROUSAL,CROSS_MODAL",,,,,,0.3557,0.2519,0.4752,0.3687,0.3568,0.2848,0.4953,0.3773,0.3557,0.2519,0.3927,0.3053,0.4621,0.3546,Fear,0.6668,0.1932,0.5070,0.1287,0.090,30,0,0,0,0,0,0,2,0.0,0,False,,,,,,,,,,,
E04,CONFIRMED,24.033,29.033,5.00,27.967,5,3.6,"DOM_FEAR,FEAR_THR,STARTLE,AROUSAL,CROSS_MODAL",,,,,,0.5572,0.2678,0.5641,0.3196,0.4036,0.2499,0.6193,0.3363,0.5572,0.2412,0.5198,0.2686,0.5429,0.2941,Fear,0.4401,0.2232,0.3327,0.1603,4.190,87,1,5,0,0,0,0,58,0.0,0,False,,,,,,,,,,,
E05,CONFIRMED,33.700,35.733,2.03,33.700,5,3.9,"DOM_SURPRISE,FEAR_THR,STARTLE,AROUSAL,CROSS_MODAL",,,,,,0.8869,0.5852,0.5158,0.2718,0.3749,0.2376,0.6908,0.3985,0.8869,0.3210,0.4264,0.2330,0.3983,0.1767,Surprise,0.2357,0.3936,0.4727,0.1355,8.340,25,16,21,0,0,0,0,0,0.0,0,False,,,,,,,,,,,
E06,CONFIRMED,36.467,37.900,1.43,36.667,5,3.9,"DOM_FEAR,FEAR_THR,STARTLE,AROUSAL,CROSS_MODAL",,,,,,0.4021,0.2196,0.4391,0.1891,0.3485,0.1959,0.4714,0.2114,0.4021,0.1559,0.4442,0.1655,0.3905,0.1724,Fear,0.5450,0.2269,0.4740,0.1104,6.930,8,13,4,0,0,0,0,19,2.3,0,False,,,,,,,,,,,
E07,CONFIRMED,38.800,42.300,3.50,39.467,6,3.9,"DOM_FEAR,DOM_SURPRISE,FEAR_THR,STARTLE,AROUSAL,CROSS_MODAL",,,,,,0.4392,0.1949,0.5141,0.2520,0.3733,0.2263,0.4908,0.2539,0.4392,0.1779,0.4308,0.2139,0.4944,0.2292,Neutral,0.0873,0.3403,0.1190,0.1435,2.810,52,28,2,0,0,0,0,24,0.0,0,False,,,,,,,,,,,
E08,CANDIDATE,47.867,49.467,1.60,47.867,4,3.1,"DOM_FEAR,FEAR_THR,AROUSAL,CROSS_MODAL",,,,,,0.4706,0.1933,0.5610,0.3946,0.4020,0.2965,0.6051,0.3753,0.4706,0.1933,0.4644,0.3262,0.5548,0.3843,Fear,0.3543,0.2772,0.3076,0.1048,0.110,43,0,0,0,4,0,0,2,0.0,0,False,,,,,,,,,,,
E09,CANDIDATE,50.300,50.900,0.60,50.300,3,3.0,"DOM_FEAR,FEAR_THR,CROSS_MODAL",,,,,,0.0041,0.0002,0.4370,0.2283,0.3232,0.1757,0.3445,0.1335,0.0041,0.0002,0.3604,0.1919,0.4334,0.2257,Sadness,0.1959,0.0404,-0.2858,0.1278,0.000,8,0,0,0,11,0,0,0,0.0,0,False,,,,,,,,,,,
E10,CONFIRMED,51.567,52.933,1.37,52.667,6,3.7,"DOM_FEAR,DOM_SURPRISE,FEAR_THR,TENSION,STARTLE,CROSS_MODAL",,,,,,0.2792,0.0988,0.5138,0.3268,0.3822,0.2671,0.4675,0.2784,0.2792,0.0988,0.4703,0.2813,0.5094,0.3194,Surprise,0.3689,0.3880,0.2954,0.2156,2.240,27,7,0,0,3,0,0,5,0.0,0,False,,,,,,,,,,,
