event_idx,start_s,end_s,label,bpm_during,bpm_pre,bpm_delta,bpm_post,n_windows_during,n_windows_pre,session
0,10.0,11.0,fear,,,,78.5,0,0,S02_Vid04
1,24.0,26.0,fear,75.3,86.4,-11.1,75.9,1,5,S02_Vid04
2,58.0,64.0,fear,78.0,75.2,2.8,87.7,3,11,S02_Vid04
3,95.0,101.0,fear,77.2,86.1,-8.9,75.2,2,11,S02_Vid04
4,164.0,166.0,fear,78.8,88.6,-9.8,77.7,1,10,S02_Vid04
5,176.0,184.0,fear,78.9,88.3,-9.4,78.9,3,10,S02_Vid04
6,187.0,189.0,fear,80.0,80.1,-0.1,75.5,1,10,S02_Vid04
7,221.0,223.0,fear,69.2,75.3,-6.1,77.0,1,10,S02_Vid04
8,230.0,235.0,fear,77.8,72.9,5.0,80.1,2,10,S02_Vid04
9,250.0,253.0,fear,75.9,76.0,-0.1,76.7,1,10,S02_Vid04
10,261.0,264.0,fear,76.3,78.2,-1.9,82.5,2,10,S02_Vid04
11,284.0,290.0,fear,78.0,79.7,-1.7,85.2,2,9,S02_Vid04
12,336.0,346.0,fear,79.7,78.9,0.8,81.0,3,10,S02_Vid04
13,357.0,363.0,fear,81.2,76.6,4.6,80.4,2,10,S02_Vid04
14,409.0,413.0,fear,95.0,74.7,20.3,93.7,1,8,S02_Vid04
15,417.0,421.0,fear,95.9,80.9,15.0,88.4,2,8,S02_Vid04
16,426.0,430.0,fear,84.5,90.7,-6.2,85.6,1,8,S02_Vid04
17,465.0,472.0,fear,94.8,86.1,8.7,102.6,2,10,S02_Vid04
18,501.0,505.0,fear,87.0,95.3,-8.3,87.5,1,10,S02_Vid04
19,517.0,519.0,fear,80.9,84.6,-3.7,78.2,1,9,S02_Vid04
20,521.0,522.0,fear,,84.9,,77.6,0,9,S02_Vid04
0,20.0,49.0,Fear,86.0,87.9,-1.9,77.8,10,3,S02_Vid05
1,75.0,77.0,Fear,77.2,84.6,-7.4,76.1,1,10,S02_Vid05
2,87.0,101.0,Fear,82.0,76.2,5.7,81.4,4,10,S02_Vid05
0,9.0,11.0,Fear,75.4,,,76.7,1,0,S04_Vid09
1,16.0,18.0,Fear,76.8,75.5,1.3,83.0,1,2,S04_Vid09
2,45.0,50.0,Fear,82.2,83.8,-1.6,74.3,2,10,S04_Vid09
3,53.0,56.0,Fear,75.5,88.6,-13.1,77.3,1,10,S04_Vid09
4,66.0,70.0,Fear,81.4,86.3,-4.9,79.5,1,10,S04_Vid09
5,82.0,90.0,Fear,80.1,77.1,3.1,79.5,3,9,S04_Vid09
6,105.0,115.0,Fear,81.9,80.4,1.4,81.3,3,10,S04_Vid09
7,116.0,124.0,Fear,79.3,80.1,-0.7,85.3,2,10,S04_Vid09
8,128.0,133.0,Fear,90.8,80.5,10.3,85.8,1,10,S04_Vid09
9,135.0,137.0,Fear,86.8,80.7,6.1,84.4,1,10,S04_Vid09
10,166.0,172.0,Fear,82.0,82.5,-0.4,73.0,2,10,S04_Vid09
11,178.0,192.0,Fear,75.3,81.3,-6.0,81.6,4,10,S04_Vid09
12,197.0,201.0,Fear,83.4,78.0,5.4,77.4,1,10,S04_Vid09
13,214.0,228.0,Fear,79.1,78.7,0.4,74.8,5,10,S04_Vid09
14,275.0,281.0,Fear,81.6,80.2,1.4,69.5,2,10,S04_Vid09
15,297.0,299.0,Fear,,78.1,,76.9,0,10,S04_Vid09
16,308.0,319.0,Fear,81.2,73.8,7.4,73.8,4,10,S04_Vid09
17,329.0,332.0,Fear,74.1,77.7,-3.6,77.8,1,10,S04_Vid09
18,335.0,339.0,Fear,78.5,76.7,1.8,80.1,1,10,S04_Vid09
19,358.0,361.0,Fear,84.8,77.4,7.4,82.6,1,10,S04_Vid09
