
--- Excluded from Scoring (5 events) ---
start_s end_s    label
  00:28 00:33 laughter
  02:46 03:16 obscured
  03:20 03:25 obscured
  03:47 03:55 obscured
  04:21 04:26 obscured
  (not scored — model is not expected to detect these labels)

==============================================================
  Advanced Analysis: 20260501_194746_mp_hs_S08_Vid18_mixed.csv
  signal_col=hs_fear  threshold=0.7  min_frames=10  window=15fr  fill=65%
  pad_start=-0.5s  pad_end=+1.0s
==============================================================
  Precision : 100.00%  (how clean are your triggers?)
  Recall    : 30.77%  (how many scares did you catch?)
  F1-Score  : 0.4706
  Triggers  : 4 total  (4 TP / 0 FP)
  GT Events : 4/13 caught  (5 excluded from scoring)

--- Recall by Label (scoreable) ---
label  caught  total recall_%
 fear       4     13      31%

--- Missed Events (False Negatives) ---
 time label  peak_hs_fear  mean_hs_fear face_detected_%
00:09  fear         0.549         0.154             75%
00:19  fear         0.763         0.185             70%
00:24  fear         0.832         0.454            100%
00:44  fear         0.563         0.276            100%
01:15  fear         0.704         0.205            100%
01:29  fear         0.631         0.171            100%
02:02  fear         0.458         0.151             89%
02:15  fear         0.389         0.081             74%
02:42  fear         0.794         0.102             76%

======================================================================
  === Formula: hs_fear (hs_fear) ===
  pad_start=0.5s  pad_end=1.0s  fill_ratio=65%
======================================================================
 Thresh   MinFr    Win      Prec       Rec        F1   Triggers
   0.55       5  strict    83.33%    76.92%    0.8000         24
   0.55       5     10    90.00%    78.26%    0.8372         20 <-- BEST F1
   0.55       5     15    84.62%    61.11%    0.7097         13
   0.55       5     20    87.50%    46.67%    0.6087          8
   0.55       8  strict    92.31%    63.16%    0.7500         13
   0.55       8     10    90.00%    78.26%    0.8372         20 <-- BEST F1
   0.55       8     15    84.62%    61.11%    0.7097         13
   0.55       8     20    87.50%    46.67%    0.6087          8
   0.55      10  strict    87.50%    43.75%    0.5833          8
   0.55      10     10    90.00%    78.26%    0.8372         20 <-- BEST F1
   0.55      10     15    84.62%    61.11%    0.7097         13
   0.55      10     20    87.50%    46.67%    0.6087          8
   0.55      12  strict    83.33%    35.71%    0.5000          6
   0.55      12     10    88.24%    71.43%    0.7895         17
   0.55      12     15    84.62%    61.11%    0.7097         13
   0.55      12     20    87.50%    46.67%    0.6087          8
   0.55      15  strict    80.00%    30.77%    0.4444          5
   0.55      15     10    87.50%    70.00%    0.7778         16
   0.55      15     15    84.62%    61.11%    0.7097         13
   0.55      15     20    87.50%    46.67%    0.6087          8

   0.60       5  strict    93.75%    68.18%    0.7895         16
   0.60       5     10    92.31%    63.16%    0.7500         13
   0.60       5     15    87.50%    46.67%    0.6087          8
   0.60       5     20    83.33%    38.46%    0.5263          6
