
==============================================================
  Advanced Analysis: 20260517_200406_mp_hs_S10_Vid13_bright.csv
  signal_col=hs_fear  threshold=0.7  min_frames=10  window=15fr  fill=65%
  pad_start=-0.5s  pad_end=+1.0s
==============================================================
  Precision : 100.00%  (how clean are your triggers?)
  Recall    : 44.44%  (how many scares did you catch?)
  F1-Score  : 0.6154
  Triggers  : 6 total  (0 FP / 6 hit-any-GT)
  GT Events : 4/9 caught  (0 excluded from scoring)

--- Recall by Label (scoreable) ---
label  caught  total recall_%
 Fear       4      9      44%

--- Missed Events (False Negatives) ---
 time label  peak_hs_fear  mean_hs_fear face_detected_%
02:11  Fear         0.664         0.143            100%
03:19  Fear         0.390         0.134            100%
03:34  Fear         0.487         0.054            100%
04:50  Fear         0.693         0.327            100%
06:30  Fear         0.537         0.256            100%

======================================================================
  === Formula: hs_fear (hs_fear) ===
  pad_start=0.5s  pad_end=1.0s  fill_ratio=65%
======================================================================
 Thresh   MinFr    Win      Prec       Rec        F1   Triggers
   0.55       5  strict    71.43%    55.56%    0.6250          7
   0.55       5     10    75.00%    66.67%    0.7059          8
   0.55       5     15   100.00%    55.56%    0.7143          5 <-- BEST F1
   0.55       5     20   100.00%    55.56%    0.7143          5 <-- BEST F1
   0.55       8  strict    83.33%    55.56%    0.6667          6
   0.55       8     10    75.00%    66.67%    0.7059          8
   0.55       8     15   100.00%    55.56%    0.7143          5 <-- BEST F1
   0.55       8     20   100.00%    55.56%    0.7143          5 <-- BEST F1
   0.55      10  strict   100.00%    55.56%    0.7143          5 <-- BEST F1
   0.55      10     10    75.00%    66.67%    0.7059          8
   0.55      10     15   100.00%    55.56%    0.7143          5 <-- BEST F1
   0.55      10     20   100.00%    55.56%    0.7143          5 <-- BEST F1
   0.55      12  strict   100.00%    55.56%    0.7143          5 <-- BEST F1
   0.55      12     10    83.33%    55.56%    0.6667          6
   0.55      12     15   100.00%    55.56%    0.7143          5 <-- BEST F1
   0.55      12     20   100.00%    55.56%    0.7143          5 <-- BEST F1
   0.55      15  strict   100.00%    55.56%    0.7143          5 <-- BEST F1
   0.55      15     10    83.33%    55.56%    0.6667          6
   0.55      15     15   100.00%    55.56%    0.7143          5 <-- BEST F1
   0.55      15     20   100.00%    55.56%    0.7143          5 <-- BEST F1

   0.60       5  strict    83.33%    55.56%    0.6667          6
   0.60       5     10    83.33%    55.56%    0.6667          6
   0.60       5     15   100.00%    55.56%    0.7143          5 <-- BEST F1
   0.60       5     20   100.00%    55.56%    0.7143          5 <-- BEST F1
   0.60       8  strict   100.00%    55.56%    0.7143          5 <-- BEST F1
   0.60       8     10    83.33%    55.56%    0.6667          6
   0.60       8     15   100.00%    55.56%    0.7143          5 <-- BEST F1
   0.60       8     20   100.00%    55.56%    0.7143          5 <-- BEST F1
   0.60      10  strict   100.00%    55.56%    0.7143          5 <-- BEST F1
   0.60      10     10    83.33%    55.56%    0.6667          6
   0.60      10     15   100.00%    55.56%    0.7143          5 <-- BEST F1
   0.60      10     20   100.00%    55.56%    0.7143          5 <-- BEST F1
   0.60      12  strict   100.00%    55.56%    0.7143          5 <-- BEST F1
   0.60      12     10    83.33%    55.56%    0.6667          6
   0.60      12     15   100.00%    55.56%    0.7143          5 <-- BEST F1
   0.60      12     20   100.00%    55.56%    0.7143          5 <-- BEST F1
   0.60      15  strict   100.00%    55.56%    0.7143          5 <-- BEST F1
   0.60      15     10   100.00%    55.56%    0.7143          5 <-- BEST F1
   0.60      15     15   100.00%    55.56%    0.7143          5 <-- BEST F1
