
============================================================
PERFORMANCE SUMMARY — MP+HS Dual-Tool (Mode: both)
============================================================
Session date:           2026-05-01 14:13:20
Session duration:       607.5 seconds
Total frames processed: 17953
Average latency:        25.3 ms (both tools)
Median latency:         26.4 ms
95th percentile:        31.3 ms
Min latency:            2.6 ms
Max latency:            95.4 ms
Effective FPS:          29.6
============================================================
CSV (full):    /home/burak/Desktop/Bitirme/Pipeline/logs/sessions/S02_Vid04_dim/20260501_140305_mp_hs_S02_Vid04_dim.csv
CSV (compact): /home/burak/Desktop/Bitirme/Pipeline/logs/sessions/S02_Vid04_dim/20260501_140305_mp_hs_S02_Vid04_dim_compact.csv
Events CSV:    /home/burak/Desktop/Bitirme/Pipeline/logs/sessions/S02_Vid04_dim/20260501_140305_mp_hs_S02_Vid04_dim_events.csv
Summary:       /home/burak/Desktop/Bitirme/Pipeline/logs/sessions/S02_Vid04_dim/20260501_140305_mp_hs_S02_Vid04_dim_summary.txt
Events found:  0
============================================================

------------------------------------------------------------
SESSION METADATA
------------------------------------------------------------
Session ID:             20260501_140305
Subject:                S02
Session label:          Vid04
Content:                Vid04
Stimulus type:          compilation
Lighting:               dim
Video source:           /home/burak/Desktop/Bitirme/Recordings/Pintipanda ile 10 Dakikada Alien Isolation_cropped.mp4
Notes:                  (none)

------------------------------------------------------------
RESOURCE USAGE
------------------------------------------------------------
Device used:            cpu
GPU (hardware):         NVIDIA GeForce GTX 1650
CPU avg:                59.0%
CPU peak:               90.6%
RAM avg:                414 MB
RAM peak:               416 MB
VRAM avg:               12 MB
VRAM peak:              12 MB

------------------------------------------------------------
FACE DETECTION
------------------------------------------------------------
Frames with face:       16323 / 17953 (90.9%)
Frames without face:    1630 / 17953 (9.1%)

------------------------------------------------------------
TIMING BREAKDOWN
------------------------------------------------------------
First-frame latency:    57.1 ms (model warmup)
Steady-state avg:       25.3 ms (excluding first frame)
Steady-state p95:       31.3 ms (excluding first frame)

SESSION FINGERPRINT
  (unknown tool — no fingerprint available)

KEY MOMENTS
  (primary signal column not found)

------------------------------------------------------------------------------------------------------------------------
FEATURE STATISTICS
------------------------------------------------------------------------------------------------------------------------
Feature                      min     max    mean  median     std      p5     p25     p75     p95   range    nz%
timestamp                 0.0330 598.4330 299.2333 299.2330 172.7576 29.9534 149.6330 448.8330 568.5132 598.4000 100.0%
composite_fear            0.0000  0.8732  0.1622  0.1202  0.1578  0.0000  0.0472  0.2242  0.5485  0.8732  85.1%
hs_fear                   0.0000  0.9453  0.2447  0.1440  0.2575  0.0000  0.0341  0.3889  0.8226  0.9453  90.9%
hs_arousal               -0.3513  1.3245  0.2332  0.1563  0.2811 -0.0511  0.0379  0.3235  0.8891  1.6758  90.7%
hs_dominant_score         0.0000  0.9453  0.4896  0.4991  0.2141  0.0000  0.3822  0.6305  0.8316  0.9453  90.9%
mp_tension                0.0000  1.0000  0.0578  0.0000  0.1045  0.0000  0.0000  0.0848  0.2548  1.0000  45.0%
mp_tension_v3             0.0000  0.3688  0.0963  0.1007  0.0530  0.0000  0.0634  0.1285  0.1738  0.3688  89.5%
mp_startle_score          0.0000 20.2782  0.3007  0.0549  0.7832  0.0000  0.0098  0.2385  1.3926 20.2782  87.2%
f0                        0.0000  0.9864  0.1651  0.1202  0.1671  0.0000  0.0472  0.2242  0.5485  0.9864  85.1%
f1                        0.0000  0.9132  0.1700  0.1215  0.1555  0.0000  0.0454  0.2621  0.5019  0.9132  90.8%
f2                        0.0000  0.7406  0.1445  0.1210  0.1149  0.0000  0.0483  0.2245  0.3628  0.7406  90.9%
f3                        0.0000  0.8941  0.1865  0.1344  0.1754  0.0000  0.0517  0.2727  0.5775  0.8941  89.4%
f4                        0.0000  0.9864  0.1217  0.0403  0.1732  0.0000  0.0000  0.1871  0.5211  0.9864  52.6%
f5                        0.0000  0.8551  0.1457  0.1041  0.1326  0.0000  0.0407  0.2249  0.4273  0.8551  90.9%
f6                        0.0000  0.9102  0.1554  0.1043  0.1515  0.0000  0.0345  0.2383  0.4910  0.9102  90.8%
f7                        0.0000  0.9453  0.2447  0.1440  0.2575  0.0000  0.0341  0.3889  0.8226  0.9453  90.9%
f8                        0.0000  1.0000  0.0578  0.0000  0.1045  0.0000  0.0000  0.0848  0.2548  1.0000  45.0%
f9                        0.0000  1.0000  0.2699  0.1910  0.2503  0.0000  0.0710  0.4069  0.8259  1.0000  90.9%
