frame,timestamp,hs_crop_source,mp_crop_source,composite_fear,hs_dominant,mp_ctx_tag,mp_velocity_tag,agreement_tag,veto_tag,hs_fear,hs_arousal,hs_dominant_score,mp_tension,mp_tension_v3,mp_startle_score,smoothed_composite,onset_slope,event_status,face_bbox,mp_valence,mp_smile
1,0.033,haar,full_frame,0.0000,Neutral,---,---,AMBIGUOUS,---,0.0167,-0.0468,0.7623,0.0000,0.1907,0.0000,0.0159,0.000000,IDLE,"56,78,152,188",-0.1506,0.0002
2,0.067,haar,full_frame,0.0000,Neutral,---,---,AMBIGUOUS,---,0.0185,-0.0449,0.7595,0.0000,0.1914,0.1032,0.0167,0.000000,IDLE,"55,77,154,189",-0.1482,0.0003
3,0.100,haar,full_frame,0.0000,Neutral,---,---,AMBIGUOUS,---,0.0139,-0.0368,0.7779,0.0000,0.1963,0.0002,0.0153,0.000000,IDLE,"55,77,154,190",-0.1610,0.0001
4,0.133,haar,full_frame,0.0000,Neutral,---,STARTLE,AMBIGUOUS,---,0.0115,-0.0078,0.7536,0.0000,0.2048,4.0864,0.0144,0.000000,IDLE,"54,77,155,191",-0.1533,0.0012
5,0.167,haar,full_frame,0.0814,Neutral,---,---,AMBIGUOUS,---,0.0680,0.1357,0.5092,0.0000,0.2031,1.0129,0.0243,0.000000,IDLE,"54,77,155,191",-0.1448,0.0018
6,0.200,haar,full_frame,0.0784,Neutral,---,---,AMBIGUOUS,---,0.0470,0.1307,0.5457,0.0000,0.2157,0.4493,0.0292,0.000000,IDLE,"54,76,155,191",-0.1565,0.0027
7,0.233,haar,full_frame,0.0000,Neutral,CONC,---,AMBIGUOUS,---,0.0061,-0.0367,0.8228,0.0000,0.0610,0.0000,0.0260,0.000000,IDLE,"55,76,155,191",-0.1907,0.0009
8,0.267,haar,full_frame,0.0000,Neutral,CONC,---,AMBIGUOUS,---,0.0041,-0.0391,0.8002,0.0000,0.0548,0.0018,0.0234,0.000000,IDLE,"56,76,156,190",-0.2129,0.0000
9,0.300,haar,full_frame,0.0000,Neutral,CONC,---,AMBIGUOUS,---,0.0044,-0.0619,0.8121,0.0000,0.0557,0.0041,0.0213,0.000000,IDLE,"57,75,157,189",-0.2674,0.0000
10,0.333,haar,full_frame,0.0000,Neutral,CONC,STARTLE,AMBIGUOUS,---,0.0158,-0.0856,0.7073,0.0000,0.0556,3.8938,0.0205,0.000460,IDLE,"61,75,157,187",-0.1774,0.0000
11,0.367,haar,full_frame,0.0000,Neutral,---,---,AMBIGUOUS,---,0.0199,-0.0033,0.6636,0.0000,0.2169,1.3575,0.0203,0.000367,IDLE,"63,75,158,187",-0.1379,0.0000
12,0.400,haar,full_frame,0.0145,Neutral,---,---,AMBIGUOUS,---,0.0337,0.0242,0.6886,0.0000,0.2168,0.1759,0.0210,0.000568,IDLE,"64,75,159,186",-0.1351,0.0000
13,0.433,haar,full_frame,0.0541,Neutral,CONC,---,AMBIGUOUS,---,0.0358,0.0902,0.6105,0.0000,0.0553,0.3086,0.0217,0.000735,IDLE,"67,75,161,186",-0.1460,0.0000
14,0.467,haar,full_frame,0.0595,Neutral,---,---,AMBIGUOUS,---,0.0432,0.0991,0.5995,0.0000,0.1955,0.0166,0.0224,-0.000197,IDLE,"68,76,161,187",-0.1415,0.0000
15,0.500,haar,full_frame,0.0272,Neutral,---,---,AMBIGUOUS,---,0.0396,0.0453,0.6367,0.0000,0.2026,0.0538,0.0229,-0.000623,IDLE,"67,77,161,187",-0.1627,0.0000
16,0.533,haar,full_frame,0.0749,Neutral,---,---,AMBIGUOUS,---,0.0738,0.1248,0.5598,0.0000,0.2047,0.0879,0.0254,-0.000065,IDLE,"67,77,162,187",-0.1771,0.0000
17,0.567,haar,full_frame,0.0282,Neutral,---,---,AMBIGUOUS,---,0.0499,0.0470,0.6321,0.0000,0.2065,0.6343,0.0267,0.000328,IDLE,"67,77,163,188",-0.1716,0.0000
18,0.600,haar,full_frame,0.0000,Neutral,CONC,---,AMBIGUOUS,---,0.0170,-0.0118,0.7608,0.0000,0.0501,0.1240,0.0267,0.000542,IDLE,"67,77,165,189",-0.1914,0.0000
19,0.633,mp,full_frame,0.0000,Neutral,CONC,---,AMBIGUOUS,---,0.0060,-0.1103,0.7820,0.0000,0.0484,0.0110,0.0257,0.000524,IDLE,"66,77,163,189",-0.2238,0.0000
20,0.667,haar,full_frame,0.0000,Neutral,CONC,---,AMBIGUOUS,---,0.0116,-0.0839,0.8192,0.0000,0.0536,0.6930,0.0252,0.000484,IDLE,"66,76,163,188",-0.2623,0.0000
21,0.700,mp,full_frame,0.0000,Neutral,CONC,---,AMBIGUOUS,---,0.0149,-0.0789,0.7656,0.0000,0.0538,0.5116,0.0246,0.000359,IDLE,"64,76,160,187",-0.2232,0.0001
