frame,timestamp,hs_crop_source,composite_fear,hs_dominant,mp_ctx_tag,mp_velocity_tag,agreement_tag,veto_tag,hs_fear,hs_arousal,hs_dominant_score,mp_tension,mp_startle_score,f0,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,smoothed_composite,onset_slope,event_status,is_neutral_frame,mp_face_valence,mp_smile_level,mp_browDownLeft,mp_browDownRight,mp_browInnerUp,mp_eyeWideLeft,mp_eyeWideRight,mp_eyeSquintLeft,mp_eyeSquintRight,mp_mouthPressLeft,mp_mouthPressRight,mp_mouthFrownLeft,mp_mouthFrownRight,mp_mouthSmileLeft,mp_mouthSmileRight,mp_jawOpen,mp_noseSneerLeft,mp_noseSneerRight,mp_cheekSquintLeft,mp_cheekSquintRight,mp_vel_eyeWideLeft,mp_vel_eyeWideRight,mp_vel_browInnerUp,mp_vel_jawOpen,mp_vel_mouthPressLeft,mp_vel_mouthPressRight,mp_tension_velocity,hs_anger,hs_contempt,hs_disgust,hs_fear,hs_happiness,hs_neutral,hs_sadness,hs_surprise,mp_face_detected,hs_face_detected,latency_ms,cpu_percent,ram_mb
1,0.033,none,0.0000,Neutral,---,---,,---,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.000000,IDLE,1,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,0,34.2,0.0,350.0
2,0.067,none,0.0000,Neutral,---,---,,---,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.000000,IDLE,1,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,0,2.5,0.0,350.0
3,0.100,haar,0.0553,Anger,---,---,,---,0.0010,0.1666,0.5514,0.0913,0.0000,0.1365,0.0371,0.0378,0.0612,0.0000,0.0279,0.0166,0.0010,0.0913,0.0913,0.0095,0.0000,0.0553,0.0011,0.0184,0.000000,IDLE,0,-0.0950,0.0001,0.0977,0.0905,0.0019,0.0190,0.0099,0.2759,0.2067,0.0129,0.0200,0.0009,0.0012,0.0001,0.0001,0.0018,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.5514,0.0213,0.0009,0.0010,0.0071,0.3699,0.0437,0.0047,1,1,120.3,0.0,350.0
4,0.133,haar,0.0227,Neutral,---,---,,---,0.0045,0.0576,0.5433,0.1113,0.4629,0.0791,0.0472,0.0497,0.0472,0.0000,0.0449,0.0312,0.0045,0.1113,0.1113,0.0224,0.0000,0.0227,0.0050,0.0195,0.000000,IDLE,1,-0.1152,0.0001,0.1107,0.1190,0.0010,0.0160,0.0077,0.3365,0.2634,0.0284,0.0193,0.0004,0.0006,0.0001,0.0001,0.0042,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0722,0.4629,0.0000,0.5998,0.3393,0.0208,0.0007,0.0045,0.0108,0.5433,0.0638,0.0167,1,1,36.1,0.0,350.0
5,0.167,haar,0.0000,Neutral,---,---,,---,0.0017,-0.0175,0.6558,0.1158,0.0278,0.0358,0.0473,0.0489,0.0321,0.0000,0.0361,0.0365,0.0017,0.1158,0.1158,0.0140,0.0000,0.0000,0.0019,0.0156,0.000000,IDLE,1,-0.1261,0.0001,0.1212,0.1304,0.0008,0.0168,0.0079,0.3406,0.2875,0.0258,0.0163,0.0003,0.0004,0.0000,0.0001,0.0052,0.0000,0.0000,0.0000,0.0000,0.0247,0.0052,0.0000,0.0278,0.0000,0.0000,0.1355,0.2291,0.0234,0.0002,0.0017,0.0094,0.6558,0.0710,0.0094,1,1,26.0,0.0,350.0
6,0.200,haar,0.0110,Neutral,---,---,,---,0.0020,0.0283,0.5245,0.1192,0.0453,0.0646,0.0488,0.0503,0.0424,0.0000,0.0376,0.0313,0.0020,0.1192,0.1192,0.0153,0.0000,0.0110,0.0022,0.0148,0.000000,IDLE,1,-0.1331,0.0000,0.1266,0.1390,0.0007,0.0169,0.0077,0.3573,0.2886,0.0273,0.0143,0.0003,0.0004,0.0000,0.0000,0.0054,0.0000,0.0000,0.0000,0.0000,0.0009,0.0000,0.0000,0.0073,0.0453,0.0000,0.1020,0.3592,0.0130,0.0004,0.0020,0.0065,0.5245,0.0851,0.0092,1,1,30.7,0.0,350.0
7,0.233,haar,0.0075,Neutral,---,---,,---,0.0036,0.0141,0.5884,0.1199,0.0039,0.0564,0.0501,0.0515,0.0406,0.0000,0.0378,0.0355,0.0036,0.1199,0.1199,0.0207,0.0000,0.0075,0.0040,0.0138,0.000000,IDLE,1,-0.1361,0.0000,0.1288,0.1428,0.0006,0.0161,0.0073,0.3636,0.2905,0.0257,0.0138,0.0004,0.0004,0.0000,0.0000,0.0055,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0039,0.0000,0.0000,0.0229,0.2924,0.0111,0.0002,0.0036,0.0050,0.5884,0.0888,0.0106,1,1,43.8,0.0,350.0
8,0.267,haar,0.0072,Neutral,---,---,,---,0.0020,0.0165,0.5182,0.1215,0.0119,0.0585,0.0498,0.0513,0.0408,0.0000,0.0377,0.0328,0.0020,0.1215,0.1215,0.0157,0.0000,0.0072,0.0023,0.0130,0.000000,IDLE,1,-0.1459,0.0000,0.1376,0.1535,0.0006,0.0148,0.0071,0.3572,0.2937,0.0261,0.0129,0.0003,0.0004,0.0000,0.0000,0.0054,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0119,0.0000,0.0457,0.3410,0.0075,0.0002,0.0020,0.0035,0.5182,0.1179,0.0096,1,1,38.1,0.0,350.0
9,0.300,haar,0.0057,Neutral,---,---,,---,0.0016,0.0134,0.5798,0.1202,0.0024,0.0561,0.0490,0.0505,0.0395,0.0000,0.0369,0.0345,0.0016,0.1202,0.1202,0.0137,0.0000,0.0057,0.0017,0.0122,0.000000,IDLE,1,-0.1461,0.0000,0.1377,0.1539,0.0005,0.0148,0.0070,0.3483,0.2912,0.0262,0.0126,0.0003,0.0004,0.0000,0.0000,0.0054,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0024,0.0000,0.0000,0.2968,0.0119,0.0003,0.0016,0.0062,0.5798,0.0944,0.0090,1,1,30.4,55.5,425.9
10,0.333,haar,0.0145,Neutral,---,---,,---,0.0012,0.0403,0.5438,0.1207,0.0138,0.0725,0.0490,0.0505,0.0449,0.0000,0.0371,0.0316,0.0012,0.1207,0.1207,0.0119,0.0000,0.0145,0.0013,0.0124,0.001239,IDLE,1,-0.1558,0.0000,0.1469,0.1640,0.0004,0.0145,0.0068,0.3359,0.2877,0.0267,0.0120,0.0003,0.0004,0.0000,0.0000,0.0054,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0008,0.0138,0.0000,0.0156,0.3559,0.0111,0.0003,0.0012,0.0048,0.5438,0.0743,0.0086,1,1,24.8,55.5,425.9
