frame,timestamp,hs_crop_source,composite_fear,hs_dominant,mp_ctx_tag,mp_velocity_tag,agreement_tag,veto_tag,hs_fear,hs_arousal,hs_dominant_score,mp_tension,mp_startle_score,smoothed_composite,onset_slope,event_status,face_bbox,mp_valence,mp_smile
1,0.033,haar,0.0000,Neutral,CONC,---,AMBIGUOUS,---,0.0062,-0.2083,0.5258,0.0816,0.0000,0.0378,0.000000,IDLE,"118,76,211,195",-0.2324,0.0000
2,0.067,haar,0.0000,Neutral,---,---,AMBIGUOUS,---,0.0057,-0.2482,0.5243,0.2614,1.4778,0.0736,0.000000,IDLE,"118,76,211,195",-0.2831,0.0001
3,0.100,haar,0.0000,Neutral,---,---,AMBIGUOUS,---,0.0063,-0.1886,0.5464,0.2518,0.0933,0.0845,0.000000,IDLE,"118,76,211,195",-0.2557,0.0000
4,0.133,haar,0.0000,Neutral,---,---,AMBIGUOUS,---,0.0046,-0.2534,0.4922,0.2618,2.1814,0.0904,0.000000,IDLE,"118,77,211,195",-0.2759,0.0000
5,0.167,haar,0.0000,Neutral,CONC,---,AMBIGUOUS,---,0.0062,-0.2746,0.4432,0.1010,2.5118,0.0814,0.000000,IDLE,"118,77,211,196",-0.3193,0.0000
6,0.200,haar,0.0000,Sadness,CONC,---,AMBIGUOUS,---,0.0175,-0.3161,0.5139,0.1059,1.3839,0.0770,0.000000,IDLE,"118,78,211,196",-0.3665,0.0000
7,0.233,haar,0.0000,Sadness,CONC,---,AMBIGUOUS,---,0.0147,-0.2715,0.4807,0.1043,0.1367,0.0734,0.000000,IDLE,"118,78,211,197",-0.3876,0.0000
8,0.267,haar,0.0000,Sadness,CONC,---,AMBIGUOUS,---,0.0197,-0.2355,0.4535,0.1069,0.4379,0.0712,0.000000,IDLE,"118,78,211,196",-0.3796,0.0000
9,0.300,haar,0.0215,Neutral,---,---,AMBIGUOUS,---,0.0168,-0.1575,0.3844,0.2899,0.5864,0.0775,0.000000,IDLE,"118,78,211,196",-0.3716,0.0000
10,0.333,haar,0.0851,Neutral,---,---,AMBIGUOUS,---,0.0198,-0.0552,0.3443,0.2956,2.4107,0.0833,0.004550,IDLE,"118,78,211,196",-0.3571,0.0006
