frame,timestamp,hs_crop_source,composite_fear,hs_dominant,mp_ctx_tag,mp_velocity_tag,agreement_tag,veto_tag,hs_fear,hs_arousal,hs_dominant_score,mp_tension,mp_startle_score,smoothed_composite,onset_slope,event_status,face_bbox,mp_valence,mp_smile
1,0.033,none,0.0000,Neutral,---,---,,---,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.000000,IDLE,,0.0000,0.0000
2,0.067,none,0.0000,Neutral,---,---,,---,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.000000,IDLE,,0.0000,0.0000
3,0.100,none,0.0000,Neutral,---,---,,---,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.000000,IDLE,,0.0000,0.0000
4,0.133,none,0.0000,Neutral,---,---,,---,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.000000,IDLE,,0.0000,0.0000
5,0.167,none,0.0000,Neutral,---,---,,---,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.000000,IDLE,,0.0000,0.0000
6,0.200,none,0.0000,Neutral,---,---,,---,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.000000,IDLE,,0.0000,0.0000
7,0.234,none,0.0000,Neutral,---,---,,---,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.000000,IDLE,,0.0000,0.0000
8,0.267,none,0.0000,Neutral,---,---,,---,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.000000,IDLE,,0.0000,0.0000
9,0.300,none,0.0000,Neutral,---,---,,---,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.000000,IDLE,,0.0000,0.0000
10,0.334,none,0.0000,Neutral,---,---,,---,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.000000,IDLE,,0.0000,0.0000
11,0.367,none,0.0000,Neutral,---,---,,---,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.000000,IDLE,,0.0000,0.0000
12,0.400,none,0.0000,Neutral,---,---,,---,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.000000,IDLE,,0.0000,0.0000
13,0.434,none,0.0000,Neutral,---,---,,---,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.000000,IDLE,,0.0000,0.0000
14,0.467,none,0.0000,Neutral,---,---,,---,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.000000,IDLE,,0.0000,0.0000
15,0.501,none,0.0000,Neutral,---,---,,---,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.000000,IDLE,,0.0000,0.0000
16,0.534,none,0.0000,Neutral,---,---,,---,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.000000,IDLE,,0.0000,0.0000
17,0.567,haar,0.0000,Surprise,---,---,,---,0.1025,0.1742,0.4096,0.0000,0.0000,0.0072,0.000723,IDLE,,0.0000,0.0000
18,0.601,haar,0.0000,Surprise,---,---,,---,0.1045,0.1352,0.3952,0.0000,0.0000,0.0135,0.001354,IDLE,,0.0000,0.0000
19,0.634,none,0.0000,Neutral,---,---,,---,0.0000,0.0000,0.0000,0.0000,0.0000,0.0128,0.001283,IDLE,,0.0000,0.0000
20,0.667,none,0.0000,Neutral,---,---,,---,0.0000,0.0000,0.0000,0.0000,0.0000,0.0122,0.001219,IDLE,,0.0000,0.0000
21,0.701,haar,0.0000,Neutral,---,---,,---,0.0550,0.0157,0.3885,0.0000,0.0000,0.0157,0.001569,IDLE,,0.0000,0.0000
22,0.734,haar,0.0895,Surprise,---,---,AMBIGUOUS,---,0.0472,0.0715,0.4015,0.1167,0.0000,0.0216,0.002160,IDLE,"124,50,197,142",-0.0993,0.0053
23,0.767,haar,0.0465,Surprise,CONC,---,AMBIGUOUS,---,0.0671,0.0593,0.3940,0.0273,0.2270,0.0257,0.002573,IDLE,"118,49,197,144",-0.1845,0.0001
24,0.801,haar,0.0646,Neutral,---,---,AMBIGUOUS,---,0.0947,0.0402,0.3454,0.1013,0.2390,0.0307,0.003066,IDLE,"116,49,199,144",-0.1343,0.0000
25,0.834,haar,0.1143,Surprise,---,---,AMBIGUOUS,---,0.1240,0.1257,0.4653,0.0971,0.0535,0.0367,0.003670,IDLE,"118,50,198,143",-0.1021,0.0001
26,0.868,mp,0.0293,Neutral,---,---,AMBIGUOUS,---,0.0154,-0.0206,0.4202,0.1040,0.4166,0.0386,0.003138,IDLE,"119,50,198,143",-0.1011,0.0001
27,0.901,mp,0.0127,Neutral,---,---,AMBIGUOUS,---,0.0151,-0.0480,0.4377,0.1038,0.1328,0.0402,0.002664,IDLE,"119,50,199,143",-0.0981,0.0000
28,0.934,mp,0.0307,Neutral,---,---,AMBIGUOUS,---,0.0192,-0.0259,0.3923,0.1157,0.2605,0.0420,0.002917,IDLE,"119,50,199,143",-0.1246,0.0001
29,0.968,haar,0.0981,Surprise,---,---,AMBIGUOUS,---,0.0951,0.0856,0.3998,0.1169,0.0022,0.0462,0.003405,IDLE,"119,50,199,143",-0.1312,0.0000
30,1.001,mp,0.0432,Neutral,---,---,AMBIGUOUS,---,0.0203,-0.0055,0.3867,0.1163,0.0353,0.0478,0.003214,IDLE,"119,50,199,143",-0.1258,0.0000
31,1.034,mp,0.0501,Neutral,---,---,AMBIGUOUS,---,0.0202,0.0077,0.3860,0.1137,0.0600,0.0493,0.002766,IDLE,"119,50,199,143",-0.1099,0.0000
32,1.068,mp,0.0507,Neutral,---,---,AMBIGUOUS,---,0.0256,0.0101,0.3985,0.1117,0.0400,0.0508,0.002505,IDLE,"119,50,199,143",-0.0989,0.0000
33,1.101,mp,0.0540,Neutral,---,---,AMBIGUOUS,---,0.0255,0.0169,0.3957,0.1096,0.0202,0.0523,0.002159,IDLE,"119,50,199,143",-0.0843,0.0000
34,1.134,mp,0.0534,Neutral,---,---,AMBIGUOUS,---,0.0253,0.0165,0.4020,0.1088,0.0020,0.0536,0.001687,IDLE,"119,50,199,143",-0.0814,0.0000
35,1.168,mp,0.0738,Neutral,---,---,AMBIGUOUS,---,0.0305,0.0494,0.3464,0.1105,0.3608,0.0549,0.001633,IDLE,"118,50,198,143",-0.0860,0.0000
36,1.201,mp,0.0620,Neutral,---,---,AMBIGUOUS,---,0.0309,0.0322,0.3559,0.1067,0.2080,0.0562,0.001606,IDLE,"118,50,198,143",-0.0832,0.0001
37,1.235,haar,0.1534,Surprise,---,---,AMBIGUOUS,---,0.1226,0.1820,0.5493,0.1104,0.0181,0.0602,0.001820,IDLE,"118,50,198,143",-0.0975,0.0001
38,1.268,haar,0.1465,Surprise,---,---,AMBIGUOUS,---,0.1405,0.1696,0.4537,0.1118,0.0295,0.0637,0.001743,IDLE,"118,50,198,143",-0.1030,0.0001
39,1.301,haar,0.1793,Surprise,---,---,AMBIGUOUS,---,0.2103,0.2202,0.4467,0.1179,0.0717,0.0677,0.001986,IDLE,"118,50,198,143",-0.1191,0.0001
40,1.335,haar,0.1879,Surprise,---,---,AMBIGUOUS,---,0.2223,0.2328,0.4516,0.1206,0.0181,0.0717,0.002242,IDLE,"118,50,198,143",-0.1268,0.0001
41,1.368,haar,0.1899,Surprise,---,---,AMBIGUOUS,---,0.2253,0.2352,0.4602,0.1221,0.0426,0.0756,0.002479,IDLE,"118,50,198,142",-0.1309,0.0001
42,1.401,haar,0.1823,Surprise,---,---,AMBIGUOUS,---,0.1780,0.2215,0.5123,0.1236,0.0231,0.0791,0.002683,IDLE,"118,50,198,142",-0.1330,0.0001
43,1.435,haar,0.1869,Surprise,---,---,AMBIGUOUS,---,0.1600,0.2264,0.5171,0.1276,0.0149,0.0823,0.002876,IDLE,"118,50,198,142",-0.1463,0.0001
44,1.468,haar,0.2020,Surprise,---,---,AMBIGUOUS,---,0.1721,0.2520,0.5305,0.1270,0.0046,0.0856,0.003064,IDLE,"118,50,198,142",-0.1547,0.0001
45,1.502,haar,0.1997,Surprise,---,---,AMBIGUOUS,---,0.1787,0.2492,0.5244,0.1254,0.0042,0.0887,0.003248,IDLE,"117,50,197,142",-0.1546,0.0001
46,1.535,haar,0.1796,Surprise,---,---,AMBIGUOUS,---,0.1684,0.2192,0.5036,0.1201,0.0091,0.0915,0.003128,IDLE,"117,50,197,142",-0.1347,0.0001
47,1.568,haar,0.2324,Surprise,---,---,AMBIGUOUS,---,0.1399,0.3099,0.5353,0.1162,0.0438,0.0940,0.003033,IDLE,"117,50,197,142",-0.1125,0.0001
48,1.602,haar,0.1905,Surprise,---,---,AMBIGUOUS,---,0.1050,0.2406,0.5507,0.1153,0.0321,0.0962,0.002848,IDLE,"117,50,197,142",-0.1107,0.0001
49,1.635,haar,0.2121,Surprise,---,---,AMBIGUOUS,---,0.1014,0.2745,0.5635,0.1186,0.0130,0.0983,0.002662,IDLE,"117,50,197,142",-0.1228,0.0001
50,1.668,haar,0.1835,Surprise,---,---,AMBIGUOUS,---,0.0953,0.2294,0.5890,0.1146,0.0378,0.1004,0.002480,IDLE,"117,50,197,142",-0.1127,0.0001
51,1.702,haar,0.1827,Surprise,---,---,AMBIGUOUS,---,0.0959,0.2292,0.5919,0.1129,0.0256,0.1044,0.002533,IDLE,"117,50,197,142",-0.1076,0.0001
52,1.735,haar,0.2268,Surprise,---,---,AMBIGUOUS,---,0.1015,0.3038,0.6175,0.1115,0.0196,0.1086,0.002626,IDLE,"117,49,197,142",-0.1010,0.0001
53,1.768,mp,0.1176,Neutral,---,---,AMBIGUOUS,---,0.0200,0.1226,0.2684,0.1101,0.0224,0.1107,0.002510,IDLE,"117,49,197,142",-0.0966,0.0001
54,1.802,mp,0.1122,Neutral,---,---,AMBIGUOUS,---,0.0202,0.1129,0.2775,0.1111,0.0000,0.1128,0.002406,IDLE,"117,49,197,142",-0.0980,0.0001
55,1.835,mp,0.1114,Neutral,---,---,AMBIGUOUS,---,0.0246,0.1117,0.2807,0.1110,0.0037,0.1149,0.002340,IDLE,"117,49,197,142",-0.0953,0.0001
56,1.869,mp,0.1089,Neutral,---,---,AMBIGUOUS,---,0.0208,0.1073,0.2821,0.1112,0.0194,0.1169,0.002295,IDLE,"117,49,197,142",-0.0944,0.0001
57,1.902,mp,0.1027,Neutral,---,---,AMBIGUOUS,---,0.0241,0.0974,0.2835,0.1107,0.0070,0.1189,0.002275,IDLE,"117,49,197,142",-0.0932,0.0001
58,1.935,mp,0.1105,Neutral,---,---,AMBIGUOUS,---,0.0257,0.1095,0.2907,0.1120,0.0720,0.1211,0.002284,IDLE,"117,49,197,142",-0.0863,0.0001
59,1.969,mp,0.1086,Surprise,---,---,AMBIGUOUS,---,0.0256,0.1060,0.2986,0.1124,0.0613,0.1234,0.002307,IDLE,"117,49,197,142",-0.0875,0.0001
60,2.002,mp,0.1133,Neutral,---,---,AMBIGUOUS,---,0.0206,0.1125,0.2886,0.1145,0.0811,0.1255,0.002113,IDLE,"117,49,197,142",-0.0908,0.0001
61,2.035,mp,0.1402,Surprise,---,---,AMBIGUOUS,---,0.0228,0.1569,0.3186,0.1151,0.1371,0.1279,0.001933,IDLE,"117,49,197,142",-0.0918,0.0000
62,2.069,mp,0.1629,Surprise,---,---,AMBIGUOUS,---,0.0257,0.1949,0.3940,0.1148,0.0326,0.1306,0.001993,IDLE,"117,49,197,142",-0.0936,0.0000
63,2.102,mp,0.1601,Surprise,---,---,AMBIGUOUS,---,0.0234,0.1884,0.3707,0.1177,0.0368,0.1332,0.002045,IDLE,"117,49,197,142",-0.1058,0.0000
64,2.135,mp,0.1731,Surprise,---,---,AMBIGUOUS,---,0.0606,0.2220,0.4065,0.0997,0.3201,0.1361,0.002124,IDLE,"116,49,197,142",-0.0656,0.0000
65,2.169,mp,0.1688,Surprise,---,---,AMBIGUOUS,---,0.0600,0.2186,0.3974,0.0941,0.2571,0.1390,0.002202,IDLE,"116,49,197,142",-0.0414,0.0001
66,2.202,mp,0.1696,Surprise,---,---,AMBIGUOUS,---,0.0585,0.2202,0.4191,0.0937,0.0234,0.1419,0.002294,IDLE,"116,49,197,142",-0.0413,0.0001
67,2.236,mp,0.1642,Surprise,---,---,AMBIGUOUS,---,0.0423,0.2107,0.4343,0.0945,0.0329,0.1422,0.002108,IDLE,"116,49,197,141",-0.0478,0.0001
68,2.269,mp,0.1606,Surprise,---,---,AMBIGUOUS,---,0.0405,0.2043,0.4022,0.0952,0.0117,0.1425,0.001906,IDLE,"117,49,197,141",-0.0505,0.0001
69,2.302,mp,0.1701,Surprise,---,---,AMBIGUOUS,---,0.0423,0.2202,0.4130,0.0951,0.0042,0.1453,0.001972,IDLE,"117,49,197,141",-0.0529,0.0001
70,2.336,mp,0.1693,Surprise,---,---,AMBIGUOUS,---,0.0426,0.2185,0.4086,0.0954,0.0078,0.1480,0.002008,IDLE,"117,49,197,141",-0.0535,0.0001
71,2.369,mp,0.1738,Surprise,---,---,AMBIGUOUS,---,0.0421,0.2255,0.4570,0.0963,0.0196,0.1492,0.001860,IDLE,"117,49,197,141",-0.0577,0.0001
72,2.402,mp,0.1971,Surprise,---,---,AMBIGUOUS,---,0.0517,0.2668,0.4253,0.0925,0.0522,0.1492,0.001592,IDLE,"117,49,197,141",-0.0560,0.0001
73,2.436,mp,0.2216,Surprise,---,---,AMBIGUOUS,---,0.0571,0.3098,0.5196,0.0894,0.0815,0.1501,0.001394,IDLE,"117,49,197,141",-0.0540,0.0001
74,2.469,mp,0.2154,Surprise,---,---,AMBIGUOUS,---,0.0547,0.3015,0.5015,0.0862,0.0362,0.1503,0.001136,IDLE,"117,48,197,141",-0.0504,0.0002
75,2.502,mp,0.2024,Surprise,---,---,AMBIGUOUS,---,0.0617,0.2805,0.4920,0.0853,0.0061,0.1498,0.000798,IDLE,"117,48,198,141",-0.0545,0.0002
76,2.536,mp,0.1975,Surprise,---,---,AMBIGUOUS,---,0.0567,0.2732,0.4367,0.0841,0.0080,0.1510,0.000876,IDLE,"117,48,198,141",-0.0522,0.0002
77,2.569,mp,0.1957,Surprise,---,---,AMBIGUOUS,---,0.0517,0.2699,0.3924,0.0843,0.0601,0.1520,0.000952,IDLE,"117,48,198,141",-0.0514,0.0001
78,2.603,mp,0.1992,Surprise,---,---,AMBIGUOUS,---,0.0490,0.2758,0.3999,0.0844,0.0150,0.1529,0.000761,IDLE,"117,48,198,141",-0.0499,0.0001
79,2.636,mp,0.2031,Surprise,---,---,AMBIGUOUS,---,0.0626,0.2834,0.4117,0.0825,0.0829,0.1524,0.000438,IDLE,"117,48,198,141",-0.0406,0.0001
80,2.669,mp,0.2207,Surprise,---,---,AMBIGUOUS,---,0.0580,0.3147,0.3935,0.0798,0.0030,0.1532,0.000396,IDLE,"118,48,198,141",-0.0414,0.0000
81,2.703,mp,0.1998,Surprise,---,---,AMBIGUOUS,---,0.0576,0.2779,0.4225,0.0826,0.0913,0.1541,0.000498,IDLE,"118,48,199,141",-0.0378,0.0000
82,2.736,mp,0.1897,Surprise,---,---,AMBIGUOUS,---,0.0583,0.2599,0.4001,0.0845,0.1054,0.1549,0.000485,IDLE,"119,48,199,141",-0.0379,0.0000
83,2.769,mp,0.0812,Neutral,---,---,AMBIGUOUS,---,0.0287,0.0788,0.3700,0.0848,0.0515,0.1547,0.000438,IDLE,"119,48,199,141",-0.0424,0.0000
84,2.803,mp,0.0796,Neutral,---,---,AMBIGUOUS,---,0.0419,0.0755,0.3835,0.0857,0.0267,0.1548,0.000496,IDLE,"119,49,199,141",-0.0421,0.0000
85,2.836,mp,0.0485,Neutral,---,---,AMBIGUOUS,---,0.0275,0.0222,0.4261,0.0880,0.0237,0.1544,0.000341,IDLE,"119,49,199,141",-0.0504,0.0000
86,2.870,mp,0.1042,Neutral,---,---,AMBIGUOUS,---,0.0441,0.1127,0.3406,0.0915,0.2544,0.1547,0.000271,IDLE,"118,49,199,142",-0.0579,0.0000
87,2.903,mp,0.0910,Neutral,---,---,AMBIGUOUS,---,0.0537,0.0900,0.3784,0.0925,0.0689,0.1530,0.000013,IDLE,"117,49,199,143",-0.0542,0.0000
88,2.936,mp,0.0902,Neutral,---,---,AMBIGUOUS,---,0.0524,0.0871,0.3823,0.0948,0.0409,0.1515,-0.000090,IDLE,"117,49,199,143",-0.0556,0.0000
89,2.970,mp,0.1490,Surprise,---,---,AMBIGUOUS,---,0.0828,0.1850,0.4391,0.0950,0.3186,0.1502,-0.000294,IDLE,"117,49,199,143",-0.0510,0.0000
90,3.003,mp,0.1570,Surprise,---,---,AMBIGUOUS,---,0.0769,0.1979,0.4606,0.0958,0.1635,0.1489,-0.000522,IDLE,"116,49,199,143",-0.0545,0.0000
91,3.036,mp,0.1282,Surprise,---,---,AMBIGUOUS,---,0.1006,0.1451,0.3738,0.1027,1.1859,0.1474,-0.000751,IDLE,"116,49,199,144",-0.0524,0.0000
92,3.070,mp,0.0000,Neutral,---,---,AMBIGUOUS,---,0.0208,-0.1636,0.5574,0.0918,0.0827,0.1441,-0.001062,IDLE,"116,49,199,144",-0.0461,0.0000
93,3.103,mp,0.0000,Neutral,---,---,AMBIGUOUS,---,0.0181,-0.1602,0.5628,0.0910,0.0288,0.1408,-0.001397,IDLE,"116,49,199,144",-0.0478,0.0000
94,3.136,mp,0.0000,Neutral,---,---,AMBIGUOUS,---,0.0218,-0.1624,0.5489,0.0904,0.0375,0.1375,-0.001694,IDLE,"116,49,199,144",-0.0564,0.0000
95,3.170,mp,0.0000,Neutral,---,---,AMBIGUOUS,---,0.0212,-0.0681,0.3967,0.0853,0.1444,0.1339,-0.002079,IDLE,"118,49,199,144",-0.0466,0.0000
96,3.203,mp,0.0000,Neutral,---,---,AMBIGUOUS,---,0.0213,-0.0723,0.3980,0.0823,0.0822,0.1306,-0.002239,IDLE,"118,49,199,144",-0.0546,0.0000
97,3.237,mp,0.0000,Neutral,---,---,AMBIGUOUS,---,0.0200,-0.0719,0.3571,0.0816,0.1100,0.1273,-0.002414,IDLE,"119,49,199,144",-0.0491,0.0000
98,3.270,mp,0.0000,Neutral,---,---,AMBIGUOUS,---,0.0258,-0.1164,0.3692,0.0866,0.1403,0.1244,-0.002588,IDLE,"120,50,199,143",-0.0482,0.0000
99,3.303,mp,0.0000,Neutral,---,---,AMBIGUOUS,---,0.0246,-0.1213,0.3798,0.0851,0.1135,0.1213,-0.002759,IDLE,"120,50,199,143",-0.0445,0.0000
