frame,timestamp,hs_crop_source,composite_fear,hs_dominant,mp_ctx_tag,mp_velocity_tag,agreement_tag,veto_tag,hs_fear,hs_arousal,hs_dominant_score,mp_tension,mp_startle_score,smoothed_composite,onset_slope,event_status,face_bbox,mp_valence,mp_smile
1,0.033,none,0.0000,Neutral,---,---,,---,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.000000,IDLE,,0.0000,0.0000
2,0.067,none,0.0000,Neutral,---,---,,---,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.000000,IDLE,,0.0000,0.0000
3,0.100,none,0.0000,Neutral,---,---,,---,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.000000,IDLE,,0.0000,0.0000
4,0.133,none,0.0000,Neutral,---,---,,---,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.000000,IDLE,,0.0000,0.0000
5,0.167,none,0.0000,Neutral,---,---,,---,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.000000,IDLE,,0.0000,0.0000
6,0.200,none,0.0000,Neutral,---,---,,---,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.000000,IDLE,,0.0000,0.0000
7,0.234,none,0.0000,Neutral,---,---,,---,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.000000,IDLE,,0.0000,0.0000
8,0.267,none,0.0000,Neutral,---,---,,---,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.000000,IDLE,,0.0000,0.0000
9,0.300,none,0.0000,Neutral,---,---,,---,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.000000,IDLE,,0.0000,0.0000
10,0.334,none,0.0000,Neutral,---,---,,---,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.000000,IDLE,,0.0000,0.0000
11,0.367,none,0.0000,Neutral,---,---,,---,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.000000,IDLE,,0.0000,0.0000
12,0.400,none,0.0000,Neutral,---,---,,---,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.000000,IDLE,,0.0000,0.0000
13,0.434,none,0.0000,Neutral,---,---,,---,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.000000,IDLE,,0.0000,0.0000
14,0.467,none,0.0000,Neutral,---,---,,---,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.000000,IDLE,,0.0000,0.0000
15,0.501,none,0.0000,Neutral,---,---,,---,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.000000,IDLE,,0.0000,0.0000
16,0.534,none,0.0000,Neutral,---,---,,---,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.000000,IDLE,,0.0000,0.0000
17,0.567,haar,0.0000,Surprise,---,---,,---,0.1300,0.1983,0.4184,0.0000,0.0000,0.0080,0.000798,IDLE,,0.0000,0.0000
18,0.601,haar,0.0000,Surprise,---,---,,---,0.1181,0.1235,0.3387,0.0000,0.0000,0.0139,0.001392,IDLE,,0.0000,0.0000
19,0.634,none,0.0000,Neutral,---,---,,---,0.0000,0.0000,0.0000,0.0000,0.0000,0.0132,0.001319,IDLE,,0.0000,0.0000
20,0.667,none,0.0000,Neutral,---,---,,---,0.0000,0.0000,0.0000,0.0000,0.0000,0.0125,0.001253,IDLE,,0.0000,0.0000
21,0.701,haar,0.0000,Surprise,---,---,,---,0.0765,0.0921,0.3913,0.0000,0.0000,0.0171,0.001712,IDLE,,0.0000,0.0000
22,0.734,haar,0.1695,Surprise,---,---,AMBIGUOUS,---,0.0936,0.2047,0.4874,0.1167,0.0000,0.0246,0.002459,IDLE,"124,50,197,142",-0.0993,0.0053
23,0.767,haar,0.1340,Surprise,CONC,---,AMBIGUOUS,---,0.1085,0.2051,0.4613,0.0273,0.2270,0.0299,0.002990,IDLE,"118,49,197,144",-0.1845,0.0001
24,0.801,haar,0.1589,Surprise,---,---,AMBIGUOUS,---,0.1252,0.1973,0.4435,0.1013,0.2390,0.0361,0.003612,IDLE,"116,49,199,144",-0.1343,0.0000
25,0.834,haar,0.1772,Surprise,---,---,AMBIGUOUS,---,0.1148,0.2306,0.5174,0.0971,0.0535,0.0422,0.004221,IDLE,"118,50,198,143",-0.1021,0.0001
26,0.868,mp,0.0603,Neutral,---,---,AMBIGUOUS,---,0.0299,0.0312,0.3441,0.1040,0.4166,0.0440,0.003602,IDLE,"119,50,198,143",-0.1011,0.0001
27,0.901,mp,0.0378,Neutral,---,---,AMBIGUOUS,---,0.0292,-0.0062,0.3709,0.1038,0.1328,0.0455,0.003162,IDLE,"119,50,199,143",-0.0981,0.0000
28,0.934,mp,0.0540,Neutral,---,---,AMBIGUOUS,---,0.0365,0.0129,0.3402,0.1157,0.2605,0.0473,0.003412,IDLE,"119,50,199,143",-0.1246,0.0001
29,0.968,haar,0.1789,Surprise,---,---,AMBIGUOUS,---,0.1075,0.2203,0.5230,0.1169,0.0022,0.0524,0.003985,IDLE,"119,50,199,143",-0.1312,0.0000
30,1.001,mp,0.0745,Neutral,---,---,AMBIGUOUS,---,0.0379,0.0467,0.3357,0.1163,0.0353,0.0540,0.003687,IDLE,"119,50,199,143",-0.1258,0.0000
31,1.034,mp,0.0688,Neutral,---,---,AMBIGUOUS,---,0.0398,0.0388,0.3327,0.1137,0.0600,0.0553,0.003074,IDLE,"119,50,199,143",-0.1099,0.0000
32,1.068,mp,0.0714,Neutral,---,---,AMBIGUOUS,---,0.0415,0.0445,0.3546,0.1117,0.0400,0.0566,0.002669,IDLE,"119,50,199,143",-0.0989,0.0000
33,1.101,mp,0.0740,Neutral,---,---,AMBIGUOUS,---,0.0416,0.0502,0.3458,0.1096,0.0202,0.0577,0.002162,IDLE,"119,50,199,143",-0.0843,0.0000
34,1.134,mp,0.0732,Neutral,---,---,AMBIGUOUS,---,0.0416,0.0495,0.3512,0.1088,0.0020,0.0588,0.001661,IDLE,"119,50,199,143",-0.0814,0.0000
35,1.168,mp,0.0721,Neutral,---,---,AMBIGUOUS,---,0.0382,0.0466,0.2951,0.1105,0.3608,0.0597,0.001572,IDLE,"118,50,198,143",-0.0860,0.0000
36,1.201,mp,0.0699,Neutral,---,---,AMBIGUOUS,---,0.0354,0.0453,0.3122,0.1067,0.2080,0.0605,0.001498,IDLE,"118,50,198,143",-0.0832,0.0001
37,1.235,haar,0.1900,Surprise,---,---,AMBIGUOUS,---,0.1173,0.2431,0.5272,0.1104,0.0181,0.0642,0.001689,IDLE,"118,50,198,143",-0.0975,0.0001
38,1.268,haar,0.1914,Surprise,---,---,AMBIGUOUS,---,0.0876,0.2444,0.4370,0.1118,0.0295,0.0669,0.001453,IDLE,"118,50,198,143",-0.1030,0.0001
39,1.301,haar,0.2187,Surprise,---,---,AMBIGUOUS,---,0.1413,0.2858,0.4888,0.1179,0.0717,0.0704,0.001637,IDLE,"118,50,198,143",-0.1191,0.0001
40,1.335,haar,0.2310,Surprise,---,---,AMBIGUOUS,---,0.1493,0.3046,0.5153,0.1206,0.0181,0.0739,0.001855,IDLE,"118,50,198,143",-0.1268,0.0001
41,1.368,haar,0.2269,Surprise,---,---,AMBIGUOUS,---,0.1420,0.2967,0.5118,0.1221,0.0426,0.0771,0.002057,IDLE,"118,50,198,142",-0.1309,0.0001
42,1.401,haar,0.2182,Surprise,---,---,AMBIGUOUS,---,0.1403,0.2813,0.5207,0.1236,0.0231,0.0803,0.002256,IDLE,"118,50,198,142",-0.1330,0.0001
43,1.435,haar,0.2111,Surprise,---,---,AMBIGUOUS,---,0.1054,0.2668,0.5305,0.1276,0.0149,0.0831,0.002426,IDLE,"118,50,198,142",-0.1463,0.0001
44,1.468,haar,0.2140,Surprise,---,---,AMBIGUOUS,---,0.1007,0.2720,0.5397,0.1270,0.0046,0.0857,0.002599,IDLE,"118,50,198,142",-0.1547,0.0001
45,1.502,haar,0.2211,Surprise,---,---,AMBIGUOUS,---,0.1123,0.2849,0.5356,0.1254,0.0042,0.0883,0.002777,IDLE,"117,50,197,142",-0.1546,0.0001
46,1.535,haar,0.2169,Surprise,---,---,AMBIGUOUS,---,0.1197,0.2814,0.5317,0.1201,0.0091,0.0908,0.002657,IDLE,"117,50,197,142",-0.1347,0.0001
47,1.568,haar,0.2294,Surprise,---,---,AMBIGUOUS,---,0.1417,0.3049,0.4703,0.1162,0.0438,0.0930,0.002613,IDLE,"117,50,197,142",-0.1125,0.0001
48,1.602,haar,0.1898,Surprise,---,---,AMBIGUOUS,---,0.0862,0.2395,0.4932,0.1153,0.0321,0.0948,0.002447,IDLE,"117,50,197,142",-0.1107,0.0001
49,1.635,haar,0.2002,Surprise,---,---,AMBIGUOUS,---,0.0874,0.2546,0.4756,0.1186,0.0130,0.0965,0.002265,IDLE,"117,50,197,142",-0.1228,0.0001
50,1.668,haar,0.2054,Surprise,---,---,AMBIGUOUS,---,0.0890,0.2659,0.5585,0.1146,0.0378,0.0985,0.002131,IDLE,"117,50,197,142",-0.1127,0.0001
51,1.702,haar,0.2015,Surprise,---,---,AMBIGUOUS,---,0.0877,0.2607,0.5524,0.1129,0.0256,0.1023,0.002196,IDLE,"117,50,197,142",-0.1076,0.0001
52,1.735,haar,0.2608,Surprise,---,---,AMBIGUOUS,---,0.1125,0.3604,0.4900,0.1115,0.0196,0.1060,0.002295,IDLE,"117,49,197,142",-0.1010,0.0001
53,1.768,mp,0.1243,Neutral,---,---,AMBIGUOUS,---,0.0255,0.1338,0.2293,0.1101,0.0224,0.1077,0.002201,IDLE,"117,49,197,142",-0.0966,0.0001
54,1.802,mp,0.1217,Neutral,---,---,AMBIGUOUS,---,0.0252,0.1288,0.2318,0.1111,0.0000,0.1094,0.002110,IDLE,"117,49,197,142",-0.0980,0.0001
55,1.835,mp,0.1178,Neutral,---,---,AMBIGUOUS,---,0.0289,0.1223,0.2308,0.1110,0.0037,0.1111,0.002034,IDLE,"117,49,197,142",-0.0953,0.0001
56,1.869,mp,0.1086,Neutral,---,---,AMBIGUOUS,---,0.0239,0.1069,0.2404,0.1112,0.0194,0.1128,0.001973,IDLE,"117,49,197,142",-0.0944,0.0001
57,1.902,mp,0.1114,Disgust,---,---,AMBIGUOUS,---,0.0277,0.1119,0.2316,0.1107,0.0070,0.1144,0.001954,IDLE,"117,49,197,142",-0.0932,0.0001
58,1.935,mp,0.1305,Neutral,---,---,AMBIGUOUS,---,0.0348,0.1429,0.2419,0.1120,0.0720,0.1163,0.001980,IDLE,"117,49,197,142",-0.0863,0.0001
59,1.969,mp,0.1309,Neutral,---,---,AMBIGUOUS,---,0.0340,0.1433,0.2452,0.1124,0.0613,0.1183,0.001984,IDLE,"117,49,197,142",-0.0875,0.0001
60,2.002,mp,0.1401,Neutral,---,---,AMBIGUOUS,---,0.0306,0.1571,0.2268,0.1145,0.0811,0.1202,0.001792,IDLE,"117,49,197,142",-0.0908,0.0001
61,2.035,mp,0.1706,Surprise,---,---,AMBIGUOUS,---,0.0345,0.2077,0.2275,0.1151,0.1371,0.1223,0.001628,IDLE,"117,49,197,142",-0.0918,0.0000
62,2.069,mp,0.1736,Surprise,---,---,AMBIGUOUS,---,0.0378,0.2129,0.2852,0.1148,0.0326,0.1247,0.001695,IDLE,"117,49,197,142",-0.0936,0.0000
63,2.102,mp,0.1728,Surprise,---,---,AMBIGUOUS,---,0.0360,0.2096,0.2755,0.1177,0.0368,0.1270,0.001759,IDLE,"117,49,197,142",-0.1058,0.0000
64,2.135,mp,0.1966,Surprise,---,---,AMBIGUOUS,---,0.0790,0.2612,0.2680,0.0997,0.3201,0.1295,0.001839,IDLE,"116,49,197,142",-0.0656,0.0000
65,2.169,mp,0.1950,Surprise,---,---,AMBIGUOUS,---,0.0794,0.2622,0.2663,0.0941,0.2571,0.1319,0.001918,IDLE,"116,49,197,142",-0.0414,0.0001
66,2.202,mp,0.1898,Surprise,---,---,AMBIGUOUS,---,0.0764,0.2539,0.3055,0.0937,0.0234,0.1345,0.002015,IDLE,"116,49,197,142",-0.0413,0.0001
67,2.236,mp,0.1978,Surprise,---,---,AMBIGUOUS,---,0.0570,0.2666,0.3128,0.0945,0.0329,0.1343,0.001796,IDLE,"116,49,197,141",-0.0478,0.0001
68,2.269,mp,0.1845,Surprise,---,---,AMBIGUOUS,---,0.0494,0.2440,0.2770,0.0952,0.0117,0.1342,0.001595,IDLE,"117,49,197,141",-0.0505,0.0001
69,2.302,mp,0.1898,Surprise,---,---,AMBIGUOUS,---,0.0516,0.2529,0.2815,0.0951,0.0042,0.1365,0.001635,IDLE,"117,49,197,141",-0.0529,0.0001
70,2.336,mp,0.1892,Surprise,---,---,AMBIGUOUS,---,0.0518,0.2517,0.2817,0.0954,0.0078,0.1389,0.001655,IDLE,"117,49,197,141",-0.0535,0.0001
71,2.369,mp,0.1790,Surprise,---,---,AMBIGUOUS,---,0.0488,0.2342,0.3281,0.0963,0.0196,0.1391,0.001448,IDLE,"117,49,197,141",-0.0577,0.0001
72,2.402,mp,0.2069,Disgust,---,---,AMBIGUOUS,---,0.0581,0.2831,0.3162,0.0925,0.0522,0.1377,0.001072,IDLE,"117,49,197,141",-0.0560,0.0001
73,2.436,mp,0.2251,Surprise,---,---,AMBIGUOUS,---,0.0706,0.3155,0.3376,0.0894,0.0815,0.1374,0.000792,IDLE,"117,49,197,141",-0.0540,0.0001
74,2.469,mp,0.2100,Surprise,---,---,AMBIGUOUS,---,0.0655,0.2925,0.3080,0.0862,0.0362,0.1363,0.000432,IDLE,"117,48,197,141",-0.0504,0.0002
75,2.502,mp,0.2065,Surprise,---,---,AMBIGUOUS,---,0.0640,0.2873,0.3043,0.0853,0.0061,0.1349,0.000039,IDLE,"117,48,198,141",-0.0545,0.0002
76,2.536,mp,0.2089,Surprise,---,---,AMBIGUOUS,---,0.0640,0.2921,0.2584,0.0841,0.0080,0.1354,0.000108,IDLE,"117,48,198,141",-0.0522,0.0002
77,2.569,mp,0.2000,Disgust,---,---,AMBIGUOUS,---,0.0623,0.2772,0.2705,0.0843,0.0601,0.1357,0.000147,IDLE,"117,48,198,141",-0.0514,0.0001
78,2.603,mp,0.2031,Disgust,---,---,AMBIGUOUS,---,0.0598,0.2823,0.2571,0.0844,0.0150,0.1359,-0.000061,IDLE,"117,48,198,141",-0.0499,0.0001
79,2.636,mp,0.2071,Surprise,---,---,AMBIGUOUS,---,0.0678,0.2902,0.2796,0.0825,0.0829,0.1344,-0.000449,IDLE,"117,48,198,141",-0.0406,0.0001
80,2.669,mp,0.2232,Surprise,---,---,AMBIGUOUS,---,0.0659,0.3189,0.3021,0.0798,0.0030,0.1347,-0.000442,IDLE,"118,48,198,141",-0.0414,0.0000
81,2.703,mp,0.2102,Surprise,---,---,AMBIGUOUS,---,0.0565,0.2952,0.2870,0.0826,0.0913,0.1351,-0.000263,IDLE,"118,48,199,141",-0.0378,0.0000
82,2.736,mp,0.2005,Surprise,---,---,AMBIGUOUS,---,0.0532,0.2779,0.2667,0.0845,0.1054,0.1353,-0.000207,IDLE,"119,48,199,141",-0.0379,0.0000
83,2.769,mp,0.0830,Neutral,---,---,AMBIGUOUS,---,0.0254,0.0818,0.3180,0.0848,0.0515,0.1349,-0.000136,IDLE,"119,48,199,141",-0.0424,0.0000
84,2.803,mp,0.0786,Neutral,---,---,AMBIGUOUS,---,0.0326,0.0739,0.3610,0.0857,0.0267,0.1346,-0.000030,IDLE,"119,49,199,141",-0.0421,0.0000
85,2.836,mp,0.0594,Neutral,---,---,AMBIGUOUS,---,0.0305,0.0404,0.3770,0.0880,0.0237,0.1343,-0.000106,IDLE,"119,49,199,141",-0.0504,0.0000
86,2.870,mp,0.1027,Neutral,---,---,AMBIGUOUS,---,0.0579,0.1102,0.3183,0.0915,0.2544,0.1347,-0.000106,IDLE,"118,49,199,142",-0.0579,0.0000
87,2.903,mp,0.0901,Neutral,---,---,AMBIGUOUS,---,0.0710,0.0886,0.3514,0.0925,0.0689,0.1328,-0.000312,IDLE,"117,49,199,143",-0.0542,0.0000
88,2.936,mp,0.0912,Neutral,---,---,AMBIGUOUS,---,0.0707,0.0888,0.3512,0.0948,0.0409,0.1316,-0.000279,IDLE,"117,49,199,143",-0.0556,0.0000
89,2.970,mp,0.1474,Surprise,---,---,AMBIGUOUS,---,0.1039,0.1824,0.3397,0.0950,0.3186,0.1305,-0.000423,IDLE,"117,49,199,143",-0.0510,0.0000
90,3.003,mp,0.1515,Surprise,---,---,AMBIGUOUS,---,0.1016,0.1886,0.3620,0.0958,0.1635,0.1293,-0.000577,IDLE,"116,49,199,143",-0.0545,0.0000
91,3.036,mp,0.1404,Surprise,---,---,AMBIGUOUS,---,0.1340,0.1655,0.3361,0.1027,1.1859,0.1284,-0.000696,IDLE,"116,49,199,144",-0.0524,0.0000
92,3.070,mp,0.0000,Neutral,---,---,AMBIGUOUS,---,0.0261,-0.1096,0.5449,0.0918,0.0827,0.1254,-0.000949,IDLE,"116,49,199,144",-0.0461,0.0000
93,3.103,mp,0.0000,Neutral,---,---,AMBIGUOUS,---,0.0251,-0.1056,0.5459,0.0910,0.0288,0.1226,-0.001197,IDLE,"116,49,199,144",-0.0478,0.0000
94,3.136,mp,0.0000,Neutral,---,---,AMBIGUOUS,---,0.0290,-0.1077,0.5368,0.0904,0.0375,0.1199,-0.001439,IDLE,"116,49,199,144",-0.0564,0.0000
95,3.170,mp,0.0172,Neutral,---,---,AMBIGUOUS,---,0.0365,-0.0281,0.3652,0.0853,0.1444,0.1170,-0.001762,IDLE,"118,49,199,144",-0.0466,0.0000
96,3.203,mp,0.0166,Neutral,---,---,AMBIGUOUS,---,0.0369,-0.0271,0.3637,0.0823,0.0822,0.1142,-0.001866,IDLE,"118,49,199,144",-0.0546,0.0000
97,3.237,mp,0.0155,Neutral,---,---,AMBIGUOUS,---,0.0340,-0.0287,0.3137,0.0816,0.1100,0.1113,-0.002028,IDLE,"119,49,199,144",-0.0491,0.0000
98,3.270,mp,0.0000,Neutral,---,---,AMBIGUOUS,---,0.0364,-0.0831,0.3612,0.0866,0.1403,0.1088,-0.002166,IDLE,"120,50,199,143",-0.0482,0.0000
99,3.303,mp,0.0000,Neutral,---,---,AMBIGUOUS,---,0.0361,-0.0837,0.3646,0.0851,0.1135,0.1064,-0.002291,IDLE,"120,50,199,143",-0.0445,0.0000
