frame,timestamp,hs_crop_source,composite_fear,hs_dominant,mp_ctx_tag,mp_velocity_tag,agreement_tag,veto_tag,hs_fear,hs_arousal,hs_dominant_score,mp_tension,mp_startle_score,f0,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,smoothed_composite,onset_slope,event_status,is_neutral_frame,mp_face_valence,mp_smile_level,mp_browDownLeft,mp_browDownRight,mp_browInnerUp,mp_eyeWideLeft,mp_eyeWideRight,mp_eyeSquintLeft,mp_eyeSquintRight,mp_mouthPressLeft,mp_mouthPressRight,mp_mouthFrownLeft,mp_mouthFrownRight,mp_mouthSmileLeft,mp_mouthSmileRight,mp_jawOpen,mp_noseSneerLeft,mp_noseSneerRight,mp_cheekSquintLeft,mp_cheekSquintRight,mp_vel_eyeWideLeft,mp_vel_eyeWideRight,mp_vel_browInnerUp,mp_vel_jawOpen,mp_vel_mouthPressLeft,mp_vel_mouthPressRight,mp_tension_velocity,hs_anger,hs_contempt,hs_disgust,hs_fear,hs_happiness,hs_neutral,hs_sadness,hs_surprise,mp_face_detected,hs_face_detected,latency_ms,cpu_percent,ram_mb
1,0.033,haar,0.0000,Neutral,---,---,,---,0.0003,-0.2542,0.5683,0.1400,0.0000,0.0000,0.0562,0.0565,0.0000,0.0000,0.0422,0.0533,0.0003,0.1400,0.1400,0.0070,0.0000,0.0000,0.0004,0.0000,0.000000,IDLE,1,-0.0965,0.0005,0.0646,0.1294,0.0022,0.0031,0.0020,0.4413,0.3687,0.0447,0.0632,0.0001,0.0001,0.0004,0.0005,0.0033,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0522,0.0218,0.0001,0.0003,0.0076,0.5683,0.3479,0.0017,1,1,159.8,3.6,348.0
2,0.067,haar,0.0000,Neutral,---,---,,---,0.0004,-0.2120,0.6072,0.1365,0.0044,0.0000,0.0548,0.0554,0.0000,0.0000,0.0412,0.0525,0.0004,0.1365,0.1365,0.0071,0.0000,0.0000,0.0004,0.0000,0.000000,IDLE,1,-0.1005,0.0005,0.0712,0.1307,0.0023,0.0030,0.0022,0.4367,0.3697,0.0386,0.0540,0.0001,0.0001,0.0004,0.0005,0.0029,0.0000,0.0000,0.0000,0.0000,0.0000,0.0034,0.0044,0.0000,0.0000,0.0000,0.0000,0.0429,0.0493,0.0003,0.0004,0.0296,0.6072,0.2673,0.0030,1,1,35.8,9.6,379.1
3,0.100,haar,0.0000,Neutral,---,---,,---,0.0003,-0.1812,0.6690,0.1276,0.0042,0.0000,0.0512,0.0523,0.0022,0.0000,0.0385,0.0489,0.0003,0.1276,0.1276,0.0065,0.0000,0.0000,0.0004,0.0000,0.000000,IDLE,1,-0.0997,0.0006,0.0721,0.1287,0.0025,0.0030,0.0022,0.4389,0.3751,0.0225,0.0340,0.0001,0.0001,0.0005,0.0006,0.0018,0.0000,0.0000,0.0000,0.0000,0.0000,0.0014,0.0042,0.0000,0.0000,0.0000,0.0000,0.0464,0.0360,0.0002,0.0003,0.0146,0.6690,0.2280,0.0054,1,1,26.9,9.6,379.1
4,0.133,haar,0.0000,Neutral,---,---,,---,0.0006,-0.1882,0.6595,0.1250,0.0007,0.0000,0.0504,0.0520,0.0002,0.0000,0.0378,0.0469,0.0006,0.1250,0.1250,0.0088,0.0000,0.0000,0.0007,0.0000,0.000000,IDLE,1,-0.0994,0.0004,0.0726,0.1272,0.0022,0.0030,0.0022,0.4609,0.3787,0.0168,0.0203,0.0001,0.0001,0.0004,0.0004,0.0018,0.0000,0.0000,0.0000,0.0000,0.0000,0.0007,0.0000,0.0001,0.0000,0.0000,0.0000,0.0693,0.0184,0.0002,0.0006,0.0082,0.6595,0.2353,0.0085,1,1,32.7,9.6,379.1
5,0.167,haar,0.0000,Neutral,---,---,,---,0.0009,-0.2893,0.5911,0.1210,0.0156,0.0000,0.0489,0.0505,0.0000,0.0000,0.0371,0.0470,0.0009,0.1210,0.1210,0.0102,0.0000,0.0000,0.0010,0.0000,0.000000,IDLE,1,-0.0880,0.0003,0.0641,0.1125,0.0028,0.0031,0.0023,0.4690,0.3882,0.0081,0.0168,0.0000,0.0000,0.0003,0.0003,0.0018,0.0000,0.0000,0.0000,0.0000,0.0034,0.0028,0.0156,0.0000,0.0000,0.0000,0.0000,0.0395,0.0082,0.0003,0.0009,0.0033,0.5911,0.3481,0.0087,1,1,28.2,9.6,379.1
6,0.200,haar,0.0000,Neutral,---,---,,---,0.0007,-0.2405,0.5532,0.1187,0.0063,0.0000,0.0479,0.0485,0.0000,0.0000,0.0361,0.0452,0.0007,0.1187,0.1187,0.0090,0.0000,0.0000,0.0008,0.0000,0.000000,IDLE,1,-0.0879,0.0007,0.0707,0.1066,0.0023,0.0031,0.0025,0.4734,0.3724,0.0063,0.0146,0.0000,0.0000,0.0005,0.0007,0.0018,0.0000,0.0000,0.0000,0.0000,0.0022,0.0063,0.0000,0.0000,0.0000,0.0000,0.0000,0.0567,0.0150,0.0004,0.0007,0.0057,0.5532,0.3644,0.0039,1,1,23.9,9.6,379.1
7,0.233,haar,0.0000,Neutral,---,---,,---,0.0003,-0.1298,0.6411,0.1215,0.1906,0.0000,0.0488,0.0491,0.0106,0.0000,0.0404,0.0457,0.0003,0.1215,0.1215,0.0055,0.0000,0.0000,0.0003,0.0000,0.000000,IDLE,1,-0.0931,0.0010,0.0748,0.1135,0.0020,0.0032,0.0024,0.4692,0.3741,0.0074,0.0210,0.0001,0.0001,0.0007,0.0010,0.0017,0.0000,0.0000,0.0000,0.0000,0.0016,0.0000,0.0000,0.0000,0.0331,0.1906,0.0851,0.0630,0.0380,0.0003,0.0003,0.0098,0.6411,0.2459,0.0017,1,1,22.4,9.6,379.1
8,0.267,haar,0.0000,Neutral,---,---,,---,0.0003,-0.0437,0.6819,0.1247,0.0581,0.0237,0.0500,0.0508,0.0288,0.0000,0.0387,0.0456,0.0003,0.1247,0.1247,0.0059,0.0000,0.0000,0.0003,0.0000,0.000000,IDLE,1,-0.1009,0.0011,0.0814,0.1228,0.0020,0.0033,0.0027,0.4734,0.3715,0.0090,0.0229,0.0001,0.0001,0.0008,0.0011,0.0017,0.0000,0.0000,0.0000,0.0000,0.0028,0.0086,0.0002,0.0000,0.0502,0.0581,0.0947,0.0878,0.0594,0.0006,0.0003,0.0207,0.6819,0.1450,0.0043,1,1,23.0,42.6,405.6
9,0.300,haar,0.0000,Neutral,---,---,,---,0.0005,-0.1072,0.6257,0.1246,0.1635,0.0000,0.0502,0.0510,0.0162,0.0000,0.0409,0.0473,0.0005,0.1246,0.1246,0.0081,0.0000,0.0000,0.0006,0.0000,0.000000,IDLE,1,-0.0972,0.0021,0.0811,0.1178,0.0022,0.0035,0.0028,0.4756,0.3572,0.0118,0.0283,0.0002,0.0002,0.0016,0.0021,0.0014,0.0000,0.0000,0.0000,0.0000,0.0058,0.0029,0.0078,0.0000,0.0829,0.1635,0.0000,0.0579,0.0807,0.0011,0.0005,0.0221,0.6257,0.2071,0.0049,1,1,22.3,42.6,405.6
10,0.333,haar,0.0000,Neutral,---,---,,---,0.0003,-0.0464,0.6672,0.1243,0.0899,0.0219,0.0499,0.0509,0.0282,0.0000,0.0393,0.0469,0.0003,0.1243,0.1243,0.0065,0.0000,0.0000,0.0004,0.0000,0.000000,IDLE,1,-0.0987,0.0034,0.0840,0.1210,0.0021,0.0036,0.0029,0.4606,0.3551,0.0134,0.0313,0.0003,0.0002,0.0025,0.0034,0.0012,0.0000,0.0000,0.0000,0.0000,0.0040,0.0032,0.0000,0.0000,0.0467,0.0899,0.0000,0.0603,0.0704,0.0013,0.0003,0.0376,0.6672,0.1575,0.0054,1,1,22.5,42.6,405.6
