frame,timestamp,hs_crop_source,composite_fear,hs_dominant,mp_ctx_tag,mp_velocity_tag,agreement_tag,veto_tag,hs_fear,hs_arousal,hs_dominant_score,mp_tension,mp_startle_score,smoothed_composite,onset_slope,event_status,face_bbox,mp_valence,mp_smile
1,0.033,haar,0.0000,Neutral,---,---,,---,0.0003,-0.2542,0.5683,0.1400,0.0000,0.0000,0.000000,IDLE,"317,185,487,376",-0.0965,0.0005
2,0.067,haar,0.0000,Neutral,---,---,,---,0.0004,-0.2120,0.6072,0.1365,0.0044,0.0000,0.000000,IDLE,"316,185,487,376",-0.1005,0.0005
3,0.100,haar,0.0000,Neutral,---,---,,---,0.0003,-0.1812,0.6690,0.1276,0.0042,0.0000,0.000000,IDLE,"316,185,486,376",-0.0997,0.0006
4,0.133,haar,0.0000,Neutral,---,---,,---,0.0006,-0.1882,0.6595,0.1250,0.0007,0.0000,0.000000,IDLE,"316,185,485,376",-0.0994,0.0004
5,0.167,haar,0.0000,Neutral,---,---,,---,0.0009,-0.2893,0.5911,0.1210,0.0156,0.0000,0.000000,IDLE,"315,186,485,376",-0.0880,0.0003
6,0.200,haar,0.0000,Neutral,---,---,,---,0.0007,-0.2405,0.5532,0.1187,0.0063,0.0000,0.000000,IDLE,"315,186,485,377",-0.0879,0.0007
7,0.233,haar,0.0000,Neutral,---,---,,---,0.0003,-0.1298,0.6411,0.1215,0.1906,0.0000,0.000000,IDLE,"315,186,485,377",-0.0931,0.0010
8,0.267,haar,0.0000,Neutral,---,---,,---,0.0003,-0.0437,0.6819,0.1247,0.0581,0.0000,0.000000,IDLE,"315,186,485,377",-0.1009,0.0011
9,0.300,haar,0.0000,Neutral,---,---,,---,0.0005,-0.1072,0.6257,0.1246,0.1635,0.0000,0.000000,IDLE,"315,186,485,377",-0.0972,0.0021
10,0.333,haar,0.0000,Neutral,---,---,,---,0.0003,-0.0464,0.6672,0.1243,0.0899,0.0000,0.000000,IDLE,"315,186,486,377",-0.0987,0.0034
11,0.367,haar,0.0000,Neutral,---,---,,---,0.0004,-0.1114,0.6326,0.1295,0.1656,0.0000,0.000000,IDLE,"316,186,487,377",-0.1135,0.0044
12,0.400,haar,0.0000,Neutral,---,---,,---,0.0002,-0.0360,0.6049,0.1634,0.6776,0.0000,0.000000,IDLE,"317,182,488,376",-0.2096,0.0056
13,0.433,haar,0.0000,Neutral,---,---,,---,0.0004,-0.0193,0.6774,0.1422,0.7011,0.0000,0.000000,IDLE,"320,174,491,371",-0.2307,0.0031
14,0.467,haar,0.0000,Neutral,---,---,,---,0.0005,-0.0304,0.7507,0.1484,0.6408,0.0000,0.000000,IDLE,"323,167,493,365",-0.2396,0.0009
15,0.500,haar,0.0000,Neutral,---,---,,---,0.0004,-0.0712,0.6991,0.1527,1.0554,0.0000,0.000000,IDLE,"328,164,496,359",-0.1834,0.0016
16,0.533,haar,0.0000,Neutral,---,---,,---,0.0006,-0.1559,0.6113,0.1666,0.3944,0.0000,0.000000,IDLE,"335,164,502,355",-0.1197,0.0010
17,0.567,haar,0.0000,Neutral,---,---,,---,0.0004,-0.1388,0.5995,0.1660,1.8454,0.0000,0.000000,IDLE,"340,162,507,353",-0.1559,0.0034
18,0.600,haar,0.0000,Neutral,STRESS,STARTLE,,---,0.0001,-0.0557,0.3209,0.2340,6.4431,0.0000,0.000000,IDLE,"343,161,510,352",-0.1427,0.0688
19,0.633,haar,0.0000,Happiness,STRESS,---,,---,0.0001,-0.0395,0.3910,0.1865,0.3940,0.0000,0.000000,IDLE,"344,161,510,352",-0.0489,0.1482
20,0.667,haar,0.0000,Happiness,STRESS,---,,---,0.0001,-0.0422,0.5375,0.2261,1.3489,0.0000,0.000000,IDLE,"343,162,510,353",-0.1341,0.1247
21,0.700,haar,0.0000,Happiness,JOY,---,,---,0.0001,-0.0393,0.6607,0.0794,0.0216,0.0000,0.000000,IDLE,"342,163,509,354",0.1758,0.3637
22,0.733,haar,0.0058,Happiness,JOY,---,,---,0.0000,0.0186,0.7842,0.0326,0.0037,0.0003,0.000026,IDLE,"340,163,508,355",0.2799,0.4073
23,0.767,haar,0.0198,Happiness,JOY,---,,---,0.0000,0.0658,0.8987,0.0000,1.6301,0.0011,0.000111,IDLE,"339,164,508,356",0.5643,0.6151
24,0.800,haar,0.0067,Happiness,JOY,---,,---,0.0000,0.0224,0.8683,0.0000,0.4308,0.0013,0.000135,IDLE,"339,164,507,356",0.7193,0.7469
