window_idx,t_start,t_center,t_end,algorithm,bpm,bpm_smoothed,bpm_plausible,snr,prominence,motion_pct,n_face_frames,bpm_spread,n_eligible,session_start_utc
0,0.6,15.87,30.83,CHROM,49.9,49.9,1,5.28,4.7,0.107,901,0.0,0,2026-05-02T13:24:48.337726+00:00
1,5.89,20.85,35.82,CHROM,62.8,62.7,1,8.34,0.31,0.019,901,0.0,0,2026-05-02T13:24:48.337726+00:00
2,10.88,25.84,40.81,CHROM,63.5,62.7,1,8.24,0.26,0.019,901,0.0,0,2026-05-02T13:24:48.337726+00:00
3,15.87,30.83,45.79,CHROM,62.7,62.7,1,8.55,0.32,0.019,901,0.0,0,2026-05-02T13:24:48.337726+00:00
4,20.85,35.82,50.78,CHROM,62.4,62.7,1,9.86,0.35,0.019,901,0.0,0,2026-05-02T13:24:48.337726+00:00
5,25.84,40.81,55.77,CHROM,62.6,62.7,1,6.82,0.22,0.0,901,0.0,0,2026-05-02T13:24:48.337726+00:00
6,30.83,45.79,60.76,CHROM,66.0,62.6,1,6.58,0.18,0.0,901,0.0,0,2026-05-02T13:24:48.337726+00:00
7,35.82,50.78,65.75,CHROM,65.9,62.6,1,5.91,0.18,0.003,901,0.0,0,2026-05-02T13:24:48.337726+00:00
8,40.81,55.77,70.73,CHROM,60.3,65.9,1,5.0,0.14,0.003,901,0.0,0,2026-05-02T13:24:48.337726+00:00
9,45.79,60.76,75.72,CHROM,48.4,60.3,1,5.43,0.17,0.003,901,0.0,0,2026-05-02T13:24:48.337726+00:00
10,50.78,65.75,80.71,CHROM,98.3,49.8,1,6.69,0.21,0.003,901,0.0,0,2026-05-02T13:24:48.337726+00:00
11,55.77,70.73,85.7,CHROM,49.8,49.6,1,8.37,0.23,0.003,901,0.0,0,2026-05-02T13:24:48.337726+00:00
12,60.76,75.72,90.69,CHROM,49.6,49.7,1,7.34,0.23,0.003,901,0.0,0,2026-05-02T13:24:48.337726+00:00
13,65.75,80.71,95.68,CHROM,49.6,49.6,1,9.06,0.29,0.0,901,0.0,0,2026-05-02T13:24:48.337726+00:00
14,70.73,85.7,100.67,CHROM,49.7,49.6,1,6.9,0.24,0.0,901,0.0,0,2026-05-02T13:24:48.337726+00:00
15,75.72,90.69,105.65,CHROM,49.6,49.7,1,8.97,0.28,0.0,901,0.0,0,2026-05-02T13:24:48.337726+00:00
16,80.71,95.68,110.64,CHROM,56.2,55.3,1,9.58,0.28,0.0,901,0.0,0,2026-05-02T13:24:48.337726+00:00
17,85.7,100.67,115.63,CHROM,56.0,55.6,1,9.98,0.38,0.0,901,0.0,0,2026-05-02T13:24:48.337726+00:00
18,90.69,105.65,120.62,CHROM,55.3,55.6,1,8.23,0.32,0.0,901,0.0,0,2026-05-02T13:24:48.337726+00:00
19,95.68,110.64,125.61,CHROM,55.6,55.6,1,9.18,0.35,0.0,901,0.0,0,2026-05-02T13:24:48.337726+00:00
20,100.67,115.63,130.6,CHROM,54.9,55.6,1,8.25,0.32,0.0,901,0.0,0,2026-05-02T13:24:48.337726+00:00
21,105.65,120.62,135.58,CHROM,62.0,55.6,1,7.77,0.27,0.0,901,0.0,0,2026-05-02T13:24:48.337726+00:00
22,110.64,125.61,140.57,CHROM,70.3,54.9,1,5.87,0.26,0.0,901,0.0,0,2026-05-02T13:24:48.337726+00:00
23,115.63,130.6,145.56,CHROM,47.7,48.2,1,7.33,0.4,0.0,901,0.0,0,2026-05-02T13:24:48.337726+00:00
24,120.62,135.58,150.55,CHROM,47.9,48.2,1,8.81,0.59,0.0,901,0.0,0,2026-05-02T13:24:48.337726+00:00
25,125.61,140.57,155.54,CHROM,48.2,48.2,1,10.61,0.99,0.001,901,0.0,0,2026-05-02T13:24:48.337726+00:00
