# session_start_utc=2026-05-02T13:24:48.337726+00:00
frame_idx,timestamp,r,g,b,face_detected,bbox
0,0.6039,0.0,0.0,0.0,0,
1,0.773,0.0,0.0,0.0,0,
2,0.7839,0.0,0.0,0.0,0,
3,0.7953,0.0,0.0,0.0,0,
4,0.8045,0.0,0.0,0.0,0,
5,0.8346,0.0,0.0,0.0,0,
6,0.8666,0.0,0.0,0.0,0,
7,0.9027,0.0,0.0,0.0,0,
8,0.9346,0.0,0.0,0.0,0,
9,0.9666,0.0,0.0,0.0,0,
10,0.9987,0.0,0.0,0.0,0,
11,1.0347,0.0,0.0,0.0,0,
12,1.0666,0.0,0.0,0.0,0,
13,1.0986,0.0,0.0,0.0,0,
14,1.1347,0.0,0.0,0.0,0,
15,1.1666,0.0,0.0,0.0,0,
16,1.1987,0.0,0.0,0.0,0,
17,1.235,0.0,0.0,0.0,0,
18,1.2667,0.0,0.0,0.0,0,
19,1.2989,0.0,0.0,0.0,0,
20,1.3346,0.0,0.0,0.0,0,
21,1.3666,0.0,0.0,0.0,0,
22,1.3987,0.0,0.0,0.0,0,
23,1.4347,0.0,0.0,0.0,0,
24,1.4666,0.0,0.0,0.0,0,
25,1.4986,0.0,0.0,0.0,0,
26,1.5347,0.0,0.0,0.0,0,
27,1.5666,0.0,0.0,0.0,0,
28,1.5986,0.0,0.0,0.0,0,
29,1.6306,0.0,0.0,0.0,0,
30,1.6666,0.0,0.0,0.0,0,
31,1.6986,0.0,0.0,0.0,0,
32,1.7306,0.0,0.0,0.0,0,
33,1.7666,0.0,0.0,0.0,0,
34,1.7986,0.0,0.0,0.0,0,
35,1.8307,0.0,0.0,0.0,0,
36,1.8667,0.0,0.0,0.0,0,
37,1.8988,0.0,0.0,0.0,0,
38,1.9306,0.0,0.0,0.0,0,
39,1.9666,0.0,0.0,0.0,0,
40,1.9986,61.828,34.304,35.494,1,"255,318,345,379"
41,2.0306,0.0,0.0,0.0,0,
42,2.0667,0.0,0.0,0.0,0,
43,2.0987,65.72,36.626,37.273,1,"232,309,346,385"
44,2.1306,62.652,34.653,35.652,1,"237,309,348,384"
45,2.1626,61.673,34.31,34.95,1,"241,313,347,384"
46,2.1987,62.511,34.798,35.771,1,"238,310,349,384"
47,2.2306,62.218,34.611,35.359,1,"238,311,347,384"
48,2.2628,61.726,34.28,35.473,1,"241,313,349,385"
49,2.2986,61.751,34.444,35.301,1,"238,310,347,383"
50,2.3307,61.894,34.341,35.472,1,"236,311,346,384"
51,2.3627,61.676,34.348,35.123,1,"242,310,350,382"
52,2.3988,62.042,34.382,35.59,1,"245,310,354,383"
53,2.4306,63.946,35.545,36.103,1,"250,298,365,375"
54,2.4628,65.302,35.716,36.79,1,"250,272,367,350"
55,2.4986,65.752,35.918,36.66,1,"252,234,369,312"
56,2.5307,65.488,35.583,36.505,1,"255,200,372,278"
57,2.5626,64.247,35.433,35.846,1,"253,174,382,260"
58,2.5987,63.687,35.034,35.696,1,"255,164,384,250"
59,2.6306,63.167,34.938,35.288,1,"258,162,388,249"
60,2.6627,61.817,34.339,35.033,1,"265,161,390,244"
61,2.6948,62.78,35.175,34.873,1,"268,160,391,243"
62,2.7307,65.473,36.739,36.662,1,"268,153,394,236"
63,2.7627,67.457,38.048,37.255,1,"266,144,398,232"
64,2.7948,70.038,39.452,38.84,1,"267,138,398,225"
65,2.8306,72.751,41.989,40.331,1,"269,127,402,216"
66,2.8626,74.176,42.619,41.453,1,"269,117,398,203"
67,2.8946,74.917,43.379,41.896,1,"270,109,402,197"
68,2.9308,77.573,44.474,43.102,1,"272,113,399,198"
69,2.9627,79.197,46.223,44.137,1,"268,123,400,211"
70,2.9947,84.323,49.113,46.641,1,"266,145,395,231"
71,3.0307,86.069,50.694,48.529,1,"264,179,395,266"
72,3.0634,89.685,53.534,50.806,1,"264,213,390,297"
73,3.0946,87.704,53.165,50.281,1,"262,228,391,314"
74,3.1307,88.04,52.779,50.531,1,"265,233,388,316"
75,3.1628,85.385,50.861,48.479,1,"268,225,387,304"
