window_idx,t_start,t_center,t_end,algorithm,bpm,bpm_smoothed,bpm_plausible,snr,prominence,motion_pct,n_face_frames,bpm_spread,n_eligible,session_start_utc
0,0.61,13.34,25.62,CHROM,58.1,58.1,1,4.72,0.85,0.026,739,0.0,0,2026-05-02T17:05:46.502591+00:00
1,5.16,17.44,29.71,CHROM,67.9,61.9,1,8.07,0.15,0.0,739,0.0,0,2026-05-02T17:05:46.502591+00:00
2,9.26,21.53,33.8,CHROM,68.0,61.9,1,8.32,0.2,0.0,739,0.0,0,2026-05-02T17:05:46.502591+00:00
3,13.34,25.62,37.89,CHROM,61.9,61.9,1,8.14,0.22,0.0,739,0.0,0,2026-05-02T17:05:46.502591+00:00
4,17.44,29.71,41.98,CHROM,60.1,61.9,1,7.26,0.17,0.0,739,0.0,0,2026-05-02T17:05:46.502591+00:00
5,21.53,33.8,46.07,CHROM,60.1,60.1,1,7.49,0.21,0.0,739,0.0,0,2026-05-02T17:05:46.502591+00:00
6,25.62,37.89,50.16,CHROM,64.6,60.1,1,5.14,0.13,0.0,739,0.0,0,2026-05-02T17:05:46.502591+00:00
7,29.71,41.98,54.25,CHROM,57.7,57.7,1,6.99,0.27,0.0,739,0.0,0,2026-05-02T17:05:46.502591+00:00
8,33.8,46.07,58.34,CHROM,50.1,50.3,1,7.19,0.27,0.0,739,0.0,0,2026-05-02T17:05:46.502591+00:00
9,37.89,50.16,62.43,CHROM,50.3,50.2,1,8.58,0.33,0.0,739,0.0,0,2026-05-02T17:05:46.502591+00:00
10,41.98,54.25,66.77,CHROM,50.2,50.2,1,9.06,0.36,0.0,739,0.0,0,2026-05-02T17:05:46.502591+00:00
11,46.07,58.34,72.94,CHROM,50.1,50.3,1,9.41,0.34,0.001,739,0.0,0,2026-05-02T17:05:46.502591+00:00
12,50.16,62.43,79.1,CHROM,50.3,50.3,1,6.98,0.3,0.003,739,0.0,0,2026-05-02T17:05:46.502591+00:00
13,54.25,66.77,85.27,CHROM,56.0,55.6,1,6.75,0.2,0.003,739,0.0,0,2026-05-02T17:05:46.502591+00:00
14,58.34,72.94,91.44,CHROM,55.6,56.0,1,6.7,0.18,0.003,739,0.0,0,2026-05-02T17:05:46.502591+00:00
15,62.43,79.1,97.6,CHROM,59.9,59.7,1,9.43,0.23,0.012,739,0.0,0,2026-05-02T17:05:46.502591+00:00
16,66.77,85.27,103.77,CHROM,59.7,59.7,1,6.91,0.17,0.019,739,0.0,0,2026-05-02T17:05:46.502591+00:00
17,72.94,91.44,109.93,CHROM,59.7,59.7,1,7.23,0.17,0.018,739,0.0,0,2026-05-02T17:05:46.502591+00:00
18,79.1,97.6,116.1,CHROM,60.0,59.7,1,8.17,0.19,0.016,739,0.0,0,2026-05-02T17:05:46.502591+00:00
19,85.27,103.77,122.26,CHROM,52.2,60.0,1,6.0,0.38,0.018,739,0.0,0,2026-05-02T17:05:46.502591+00:00
20,91.44,109.93,128.43,CHROM,66.5,66.0,1,5.82,0.44,0.083,739,0.0,0,2026-05-02T17:05:46.502591+00:00
21,97.6,116.1,134.6,CHROM,66.0,66.0,1,5.79,0.44,0.073,739,0.0,0,2026-05-02T17:05:46.502591+00:00
0,0.61,13.34,25.62,POS,42.0,42.0,1,2.73,0.65,0.026,739,0.0,0,2026-05-02T17:05:46.502591+00:00
1,5.16,17.44,29.71,POS,68.1,67.9,1,3.71,0.23,0.0,739,0.0,0,2026-05-02T17:05:46.502591+00:00
2,9.26,21.53,33.8,POS,68.0,68.0,1,3.51,0.22,0.0,739,0.0,0,2026-05-02T17:05:46.502591+00:00
3,13.34,25.62,37.89,POS,67.9,68.1,1,2.7,0.16,0.0,739,0.0,0,2026-05-02T17:05:46.502591+00:00
4,17.44,29.71,41.98,POS,70.4,69.7,1,3.54,0.24,0.0,739,0.0,0,2026-05-02T17:05:46.502591+00:00
5,21.53,33.8,46.07,POS,70.0,70.0,1,4.78,0.35,0.0,739,0.0,0,2026-05-02T17:05:46.502591+00:00
6,25.62,37.89,50.16,POS,69.7,70.3,1,3.13,0.21,0.0,739,0.0,0,2026-05-02T17:05:46.502591+00:00
7,29.71,41.98,54.25,POS,70.3,70.0,1,3.28,0.29,0.0,739,0.0,0,2026-05-02T17:05:46.502591+00:00
8,33.8,46.07,58.34,POS,75.8,70.3,1,3.42,0.29,0.0,739,0.0,0,2026-05-02T17:05:46.502591+00:00
9,37.89,50.16,62.43,POS,61.4,75.8,1,2.73,0.22,0.0,739,0.0,0,2026-05-02T17:05:46.502591+00:00
10,41.98,54.25,66.77,POS,76.1,75.8,1,2.68,0.29,0.0,739,0.0,0,2026-05-02T17:05:46.502591+00:00
11,46.07,58.34,72.94,POS,75.9,68.1,1,2.86,0.27,0.001,739,0.0,0,2026-05-02T17:05:46.502591+00:00
12,50.16,62.43,79.1,POS,68.0,68.1,1,3.13,0.31,0.003,739,0.0,0,2026-05-02T17:05:46.502591+00:00
13,54.25,66.77,85.27,POS,68.1,68.0,1,2.49,0.16,0.003,739,0.0,0,2026-05-02T17:05:46.502591+00:00
14,58.34,72.94,91.44,POS,66.7,68.0,1,2.68,0.17,0.003,739,0.0,0,2026-05-02T17:05:46.502591+00:00
15,62.43,79.1,97.6,POS,52.0,68.1,1,3.23,0.19,0.012,739,0.0,0,2026-05-02T17:05:46.502591+00:00
16,66.77,85.27,103.77,POS,74.0,74.0,1,3.61,0.15,0.019,739,0.0,0,2026-05-02T17:05:46.502591+00:00
17,72.94,91.44,109.93,POS,128.2,74.0,1,3.01,0.15,0.018,739,0.0,0,2026-05-02T17:05:46.502591+00:00
