window_idx,t_start,t_center,t_end,algorithm,bpm,bpm_smoothed,bpm_plausible,snr,prominence,motion_pct,n_face_frames,bpm_spread,n_eligible,session_start_utc,gt_bpm
0,0.6,15.57,30.53,CHROM,69.8,69.8,1,6.53,0.09,0.048,901,0.0,0,2026-05-15T10:48:34.105337+00:00,80.3
1,5.59,20.56,35.52,CHROM,65.7,69.8,1,6.07,0.09,0.006,901,0.0,0,2026-05-15T10:48:34.105337+00:00,77.3
2,10.58,25.54,40.51,CHROM,64.9,69.8,1,5.56,0.06,0.006,901,0.0,0,2026-05-15T10:48:34.105337+00:00,79.6
3,15.57,30.53,45.5,CHROM,88.0,88.0,1,8.4,0.07,0.006,901,0.0,0,2026-05-15T10:48:34.105337+00:00,80.0
4,20.56,35.52,50.48,CHROM,88.8,88.8,1,8.18,0.07,0.006,901,0.0,0,2026-05-15T10:48:34.105337+00:00,83.0
5,25.54,40.51,55.47,CHROM,90.3,90.3,1,9.87,0.09,0.004,901,0.0,0,2026-05-15T10:48:34.105337+00:00,85.2
6,30.53,45.5,60.46,CHROM,91.4,91.4,1,13.59,0.11,0.01,901,0.0,0,2026-05-15T10:48:34.105337+00:00,89.0
7,35.52,50.48,65.45,CHROM,91.9,91.9,1,12.23,0.13,0.01,901,0.0,0,2026-05-15T10:48:34.105337+00:00,91.6
8,40.51,55.47,70.44,CHROM,92.1,91.9,1,12.95,0.16,0.02,901,0.0,0,2026-05-15T10:48:34.105337+00:00,91.0
9,45.5,60.46,75.42,CHROM,91.9,91.9,1,12.36,0.16,0.02,901,0.0,0,2026-05-15T10:48:34.105337+00:00,92.0
10,50.48,65.45,80.41,CHROM,60.0,68.4,1,13.26,0.16,0.029,901,0.0,0,2026-05-15T10:48:34.105337+00:00,92.6
11,55.47,70.44,85.4,CHROM,60.0,68.4,1,11.3,0.16,0.026,901,0.0,0,2026-05-15T10:48:34.105337+00:00,91.5
12,60.46,75.42,90.39,CHROM,68.4,68.4,1,12.13,0.15,0.019,901,0.0,0,2026-05-15T10:48:34.105337+00:00,89.0
13,65.45,80.41,95.38,CHROM,68.4,68.4,1,13.72,0.15,0.019,901,0.0,0,2026-05-15T10:48:34.105337+00:00,86.5
14,70.44,85.4,100.37,CHROM,87.2,87.2,1,10.15,0.08,0.009,901,0.0,0,2026-05-15T10:48:34.105337+00:00,84.0
15,75.42,90.39,105.36,CHROM,89.4,89.4,1,10.42,0.08,0.009,901,0.0,0,2026-05-15T10:48:34.105337+00:00,86.5
16,80.41,95.38,110.34,CHROM,89.7,89.7,1,11.77,0.08,0.012,901,0.0,0,2026-05-15T10:48:34.105337+00:00,87.5
17,85.4,100.37,115.33,CHROM,89.9,89.9,1,11.34,0.09,0.013,901,0.0,0,2026-05-15T10:48:34.105337+00:00,88.0
18,90.39,105.36,120.32,CHROM,91.6,91.6,1,11.26,0.08,0.013,901,0.0,0,2026-05-15T10:48:34.105337+00:00,91.0
19,95.38,110.34,125.31,CHROM,92.1,92.1,1,16.76,0.12,0.013,901,0.0,0,2026-05-15T10:48:34.105337+00:00,95.9
20,100.37,115.33,130.3,CHROM,95.9,95.9,1,13.26,0.1,0.02,901,0.0,0,2026-05-15T10:48:34.105337+00:00,96.0
21,105.36,120.32,135.28,CHROM,96.1,96.1,1,13.35,0.11,0.02,901,0.0,0,2026-05-15T10:48:34.105337+00:00,94.6
22,110.34,125.31,140.27,CHROM,96.4,96.1,1,15.22,0.14,0.008,901,0.0,0,2026-05-15T10:48:34.105337+00:00,94.8
23,115.33,130.3,145.26,CHROM,96.1,96.1,1,20.12,0.15,0.007,901,0.0,0,2026-05-15T10:48:34.105337+00:00,95.6
24,120.32,135.28,150.25,CHROM,95.9,95.9,1,10.36,0.09,0.029,901,0.0,0,2026-05-15T10:48:34.105337+00:00,96.0
25,125.31,140.27,155.24,CHROM,93.7,93.7,1,13.67,0.13,0.051,901,0.0,0,2026-05-15T10:48:34.105337+00:00,95.0
26,130.3,145.26,160.22,CHROM,93.7,93.7,1,15.7,0.14,0.048,901,0.0,0,2026-05-15T10:48:34.105337+00:00,94.0
